Time,Breathing
0.0165593,0
0.215322,0
0.215322,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490772,0
0.1490643,0
0.03312007,0
0.03312007,0
0.03312007,0
0.03312007,0
0.04969875,0
0.01656401,0
0.01656401,0
0.01630302,0
0.01630302,0
0.0165623,0
0.01656171,0
0.01656179,0
0.01656159,0
0.01656326,0
0.01656139,0
0.01656139,0
0.01656336,0
0.01656384,0
0.01656202,0
0.01656738,0
0.01655924,0
0.01656339,0
0.01656339,0
0.01656524,0
0.01657137,0
0.01657137,0
0.01656055,0
0.01656055,0
0.01657098,0
0.01657098,0
0.01656385,0
0.01656385,0
0.03312334,0
0.03312334,0
0.01666238,0
0.01657982,0
0.01657982,0
0.01668842,0
0.01656181,0
0.01656181,0
0.01658045,0
0.01658536,0
0.01657923,0
0.01657923,0
0.01603563,0
0.01658123,0
0.01658071,0
0.01658071,0
0.01657734,0
0.01657734,0
0.01658195,0
0.01658053,0
0.01658174,0
0.01658174,0
0.01657743,0
0.01657998,0
0.01605304,0
0.01657941,0
0.01657899,0
0.01657879,0
0.01657058,0
0.01657058,0
0.01656828,0
0.01656828,0
0.03314582,0
0.03314582,0
0.01657128,0
0.01657013,0
0.01657013,0
0.03314495,0
0.01657012,0
0.01657497,0
0.01657471,0
0.01656701,0
0.01657241,0
0.0165728,0
0.0165728,0
0.01656947,0
0.01656947,0
0.01657232,0
0.01657368,0
0.01657209,0
0.01656891,0
0.0331465,0
0.01657045,0
0.01657045,0
0.01657004,0
0.01657004,0
0.01656965,0
0.01657155,0
0.01656931,0
0.01656968,0
0.01657105,0
0.0165743,0
0.01657022,0
0.01657237,0
0.01657283,0
0.01657183,0
0.01657183,0
0.01657094,0
0.01657158,0
0.01657158,0
0.01657115,0
0.01657115,0
0.01665322,0
0.01656997,0
0.01656832,0
0.01656832,0
0.01657151,0
0.01670758,0
0.01656927,0
0.01657166,0
0.01656952,0
0.01657093,0
0.01657093,0
0.01657312,0
0.01657102,0
0.01657102,0
0.01657165,0
0.01656203,0
0.01610175,0
0.01610175,0
0.01657055,0
0.01657055,0
0.01656939,0
0.01656908,0
0.01656908,0
0.01657081,0
0.01657127,0
0.01657127,0
0.01657192,0
0.01657258,0
0.01657258,0
0.01721217,0
0.01657047,0
0.01656832,0
0.01671809,0
0.01657458,0
0.01657458,0
0.01657211,0
0.01657124,0
0.01657431,0
0.01657431,0
0.01656938,0
0.01657563,0
0.01657563,0
0.01657563,0
0.01657563,0
0.01657563,0
0.01657563,0
0.01657563,0
0.01657563,0
0.01657563,0
0.3333333,1
0.3333333,1
0.3333333,1
0.3333333,1
0.3333333,1
0.1324967,1
0.1324967,1
0.1324967,1
0.03320841,1
0.03323776,1
0.01658981,1
0.01657987,1
0.01657987,1
0.0165834,1
0.01657118,1
0.01657118,1
0.01657079,1
0.01657387,1
0.01656705,1
0.01656955,1
0.01656955,1
0.01656971,1
0.01656971,1
0.01676896,1
0.01656977,1
0.01657034,1
0.01657034,1
0.01656846,1
0.01656846,1
0.01656978,1
0.01657231,1
0.01657231,1
0.01656941,1
0.01656941,1
0.01657462,1
0.01657462,1
0.01607534,1
0.01656593,1
0.01657565,1
0.01657592,1
0.01657162,1
0.01657116,1
0.01657391,1
0.01657391,1
0.01657244,1
0.01657029,1
0.01657134,1
0.01657198,1
0.01657056,1
0.01657153,1
0.0165723,1
0.01657644,1
0.01657644,1
0.01657035,1
0.01656991,1
0.01657587,1
0.01657217,1
0.01656841,1
0.01656841,1
0.01657265,1
0.01657265,1
0.01657188,1
0.01657188,1
0.01568722,1
0.01657091,1
0.01657091,1
0.01657044,1
0.01657251,1
0.01656976,1
0.01657119,1
0.01657119,1
0.01657209,1
0.01657158,1
0.01657158,1
0.01656944,1
0.01657823,1
0.01656946,1
0.01666245,1
0.01657227,1
0.01657227,1
0.01657165,1
0.01656436,1
0.01656921,1
0.01664137,1
0.01657027,1
0.01657701,1
0.01656992,1
0.01657035,1
0.01657093,1
0.01657063,1
0.01657063,1
0.01628248,1
0.01656832,1
0.01657091,1
0.01657091,1
0.01657093,1
0.01656997,1
0.01656997,1
0.01657189,1
0.0165608,1
0.01656312,1
0.01656318,1
0.01656318,1
0.01655915,1
0.01656268,1
0.01656025,1
0.01656157,1
0.01640262,1
0.01640262,1
0.0165605,1
0.01656116,1
0.01655863,1
0.01655863,1
0.01655863,1
0.06624094,1
0.03311815,1
0.01656167,1
0.01656187,1
0.01655384,0
0.01655873,0
0.01647036,0
0.01647036,0
0.01656171,0
0.01656171,0
0.01654978,0
0.01656015,0
0.01656015,0
0.0165612,0
0.01655696,0
0.01655696,0
0.01656081,0
0.01756574,0
0.0169387,0
0.01656032,0
0.03312159,0
0.01618775,0
0.03355747,0
0.01656839,0
0.01656839,0
0.01656982,0
0.03314278,0
0.0165684,0
0.01614111,0
0.03357161,0
0.01712698,0
0.01712698,0
0.01657236,0
0.01657176,0
0.01657176,0
0.01656863,0
0.01656932,0
0.01656819,0
0.01656819,0
0.01657062,0
0.01657062,0
0.01657154,0
0.01656954,0
0.01657051,0
0.01657051,0
0.01656911,0
0.03314111,0
0.03314111,0
0.04970847,0
0.04970847,0
0.04971233,0
0.04971233,0
0.04971088,0
0.04971088,0
0.01656977,0
0.01656957,0
0.01656957,0
0.01657119,0
0.01656945,0
0.01656945,0
0.01656995,0
0.01656883,0
0.01656883,0
0.0165705,0
0.01657028,0
0.01657028,0
0.01657263,0
0.01656946,0
0.01656946,0
0.01656958,0
0.01656848,0
0.01656727,0
0.01657093,0
0.01657093,0
0.01657127,0
0.01657148,0
0.01657121,0
0.01657021,0
0.01673063,0
0.0165687,0
0.01657213,0
0.01657002,0
0.01657157,0
0.01657012,0
0.01657012,0
0.01656765,0
0.01656964,0
0.01656964,0
0.01656726,0
0.01656922,0
0.01656684,0
0.01656872,0
0.01656872,0
0.01656673,0
0.01657033,0
0.01656417,0
0.01657004,0
0.01657004,0
0.01656699,0
0.01656736,0
0.01656906,0
0.01656669,0
0.01656789,0
0.01432874,0
0.01432874,0
0.01656537,0
0.01656877,0
0.01656877,0
0.01656916,0
0.01656752,0
0.01656752,0
0.0165683,0
0.01656399,0
0.01657008,0
0.01657018,0
0.01656969,0
0.01656969,0
0.01656929,0
0.01656981,0
0.01656894,0
0.01656894,0
0.01656804,0
0.01656804,0
0.01657069,0
0.0165681,0
0.0165681,0
0.01656946,0
0.01656757,0
0.01656492,0
0.01657539,0
0.01656617,0
0.01656617,0
0.01656926,0
0.01656926,0
0.01656956,0
0.01656822,0
0.01656822,0
0.01657216,0
0.01656783,0
0.01656783,0
0.01656152,0
0.01655565,0
0.01655565,0
0.01655703,0
0.01655703,0
0.01655863,0
0.01655863,0
0.01655935,0
0.01655662,0
0.01655662,0
0.01655552,0
0.01656101,0
0.01655916,0
0.01656019,0
0.01655971,0
0.01655971,0
0.01655985,0
0.01655675,0
0.01655967,0
0.01655907,0
0.01655911,0
0.0164924,0
0.01655827,0
0.01655827,0
0.01656002,0
0.01656027,0
0.01656027,0
0.0169223,0
0.01655701,0
0.01655968,0
0.01656725,0
0.01657041,0
0.01656936,0
0.01656936,0
0.01656911,0
0.01657635,0
0.0165673,0
0.01656613,0
0.01656912,0
0.01656912,0
0.0165677,0
0.01657016,0
0.01657016,0
0.01656881,0
0.01656881,0
0.01657117,0
0.01656641,0
0.01583638,0
0.01657581,0
0.01657581,0
0.01656789,0
0.01656455,0
0.01657097,0
0.01656669,0
0.03314118,0
0.03314118,0
0.0497045,0
0.01657152,0
0.0165667,0
0.0165667,0
0.03313654,0
0.0165599,0
0.01656702,0
0.01656702,0
0.01656854,0
0.01657044,0
0.01656837,0
0.01656837,0
0.01656893,0
0.01656961,0
0.01657275,0
0.01656632,0
0.0165648,0
0.0165648,0
0.01656872,0
0.01656758,0
0.0165721,0
0.01657029,0
0.01657029,0
0.02686944,0
0.01656862,0
0.01656842,0
0.01656837,1
0.03313112,1
0.03313112,1
0.04943029,1
