Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
8.579633,-724,0,0,0,0,0,0,0
8.579633,5904,1104,-15428,336,-413,-243,0,0
8.795652,5948,1044,-15144,368,-735,-865,0,0
8.795652,6136,1068,-15244,368,251,-482,0,0
8.795652,6240,488,-15228,368,250,-554,0,0
8.845501,5940,516,-15460,352,155,-149,0,0
8.845501,5912,604,-15088,352,-681,43,0,0
8.845501,5712,648,-15320,352,-10,-758,0,0
8.845501,5752,1124,-15528,368,-400,-168,0,0
8.87874,5756,736,-15536,336,192,47,0,0
8.87874,5712,892,-15508,384,-869,-114,0,0
8.87874,5612,948,-15532,352,-287,73,0,0
8.87874,5612,984,-15384,336,-1251,45,0,0
8.911978,6192,592,-15376,352,-186,690,0,0
8.97844,6252,-1216,-15124,352,552,914,0,0
8.97844,6132,-176,-15480,368,793,461,0,0
9.011678,6104,632,-15168,336,-742,142,0,0
9.028295,5984,924,-15092,352,-508,-502,0,0
9.06153,5988,876,-15676,336,-769,-337,0,0
9.111369,6040,816,-15252,384,-810,19,0,0
9.16122,5956,932,-14884,384,-742,-189,0,0
9.16122,5956,1228,-15248,384,-601,-221,0,0
9.177843,5860,1484,-15368,368,-367,-24,0,0
9.244295,5924,1176,-15048,384,56,264,0,0
9.244295,6240,924,-15200,352,3,356,0,0
9.244295,6192,592,-15084,384,54,46,0,0
9.29415,6132,540,-15252,352,-393,-244,0,0
9.327308,5972,432,-15436,368,-384,-144,0,0
9.343999,6040,484,-15420,368,-121,155,0,0
9.377233,6196,360,-15324,352,-427,89,0,0
9.377233,6144,400,-15096,368,-768,-118,0,0
9.427087,6112,472,-15364,368,-502,-139,0,0
9.427087,6076,484,-15396,336,-72,-212,0,0
9.476937,6260,536,-15436,336,-508,-440,0,0
9.476937,6100,856,-15292,352,-58,-142,0,0
9.526795,6056,1024,-15236,368,108,-44,0,0
9.526795,5976,1188,-15164,352,8,-564,0,0
9.609871,5932,1032,-15232,384,116,-590,0,0
9.609871,6028,908,-15352,320,-30,-345,0,0
9.659731,6072,784,-15460,352,-411,-394,0,0
9.692886,5748,688,-15332,336,-572,-307,0,0
9.692886,5848,520,-15772,320,-176,159,0,0
9.742804,6072,508,-14992,352,-431,-226,0,0
9.742804,5768,480,-15124,352,-509,-960,0,0
9.792652,5804,492,-15488,352,377,-316,0,0
9.792652,5832,440,-15672,368,214,-130,0,0
9.825888,5792,564,-15440,336,-484,-450,0,0
9.825888,5824,668,-15284,352,-36,-405,0,0
9.875746,5796,536,-15240,384,413,-519,0,0
9.92559,5776,556,-15512,400,-150,-582,0,0
9.92559,5768,584,-15532,368,-278,-74,0,0
9.958823,5656,588,-15456,384,23,239,0,0
9.958823,5740,556,-15560,368,-452,-225,0,0
10.00867,5644,508,-15392,352,-697,-184,0,0
10.00867,5640,520,-15248,368,99,219,0,0
10.05852,5692,564,-15484,368,-282,51,0,0
10.05852,5612,508,-15500,336,-227,-118,0,0
10.09175,5788,608,-15604,368,-228,-182,0,0
10.10837,5780,584,-15360,352,-129,-236,0,0
10.1416,5644,652,-15720,368,-319,-162,0,0
10.19145,5840,440,-15688,368,-810,141,0,0
10.19145,5732,656,-15340,336,-291,-13,0,0
10.2413,5700,672,-15300,352,804,61,0,0
10.2413,5760,580,-15640,352,10,28,0,0
10.29115,5660,548,-15444,352,-852,56,0,0
10.29115,5540,684,-15528,384,-336,24,0,0
10.32439,5812,648,-15732,368,-315,288,0,0
10.32439,5888,604,-15232,336,-579,-86,0,0
10.37424,5724,504,-15116,320,-96,-192,0,0
10.37424,5712,416,-15800,368,31,-137,0,0
10.50718,5644,528,-15472,384,-181,124,0,0
10.50718,5636,472,-15420,384,-355,-86,0,0
10.55704,5676,560,-15324,368,16,51,0,0
10.55704,5724,456,-15396,384,-83,-133,0,0
10.60689,5788,440,-15544,368,-241,-207,0,0
10.60689,5704,432,-15404,352,-47,-43,0,0
10.64012,5720,452,-15596,368,-100,16,0,0
10.64012,5684,460,-15448,368,-348,62,0,0
10.68998,5680,536,-15408,384,-342,26,0,0
10.72321,5644,464,-15292,368,-215,49,0,0
10.73983,5672,428,-15372,352,-355,-108,0,0
10.77305,5656,452,-15368,384,-191,-37,0,0
10.77305,5668,500,-15404,368,-191,-42,0,0
10.88936,5728,356,-15460,368,-275,-61,0,0
10.88936,5772,488,-15536,352,-269,-12,0,0
10.9226,5700,420,-15476,336,-58,180,0,0
10.9226,5688,408,-15552,368,-262,303,0,0
10.95584,5680,448,-15564,384,-274,187,0,0
10.97246,5680,352,-15496,384,-295,115,0,0
11.00569,5740,412,-15488,384,-321,242,0,0
11.00569,5660,476,-15464,368,-135,298,0,0
11.03892,5764,428,-15236,368,-195,285,0,0
11.07216,5824,516,-15524,400,-262,147,0,0
11.08878,5704,452,-15440,352,-295,334,0,0
11.10539,5752,360,-15264,336,-276,210,0,0
11.15524,5688,464,-15452,384,-570,-59,0,0
11.15524,5840,464,-15540,352,-407,141,0,0
11.22172,5952,344,-15064,384,-592,-56,0,0
11.23833,5844,512,-14972,368,-130,-491,0,0
11.25495,5780,360,-15656,336,-20,-180,0,0
11.27156,5656,348,-15468,384,-224,-161,0,0
11.3048,5676,488,-15396,368,-324,-37,0,0
11.3048,5688,496,-15404,400,127,123,0,0
11.33803,6104,448,-16212,352,371,218,0,0
11.35465,5916,360,-15756,352,37,195,0,0
