Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
8.579633,0,0,0,0,0,0,0,0
8.579633,3743.264,862.4966,-9059.348,401.5738,-47.94602,54.08117,0,0
8.795652,5490.968,1019.823,-13968.37,368.0544,-527.4152,-546.8859,0,0
8.795652,6449.952,1106.35,-16392.56,353.7012,-215.4902,-657.0327,0,0
8.795652,6912.005,833.4507,-17364.25,348.9138,-6.652665,-723.186,0,0
8.845501,6957.349,680.8628,-17824,340.0932,74.02471,-549.5355,0,0
8.845501,6930.145,626.8423,-17826.2,335.6008,-242.6369,-351.9224,0,0
8.845501,6811.328,611.1862,-17857.51,333.2621,-177.4542,-541.4821,0,0
8.845501,6735.779,774.2747,-17919.84,337.8167,-275.1314,-451.2078,0,0
8.87874,6679.498,755.6931,-17946.17,330.3728,-143.1206,-317.1163,0,0
8.87874,6622.971,791.4235,-17944.95,340.2298,-381.3688,-273.3683,0,0
8.87874,6550.816,833.4233,-17943.48,337.9295,-380.2151,-187.0426,0,0
8.87874,6495.888,874.1075,-17893.23,331.8335,-649.3437,-131.9365,0,0
8.911978,6609.263,797.9991,-17843.73,331.7434,-559.4767,83.78985,0,0
8.97844,6705.965,261.3157,-17725.64,331.7995,-295.459,305.3675,0,0
8.97844,6742.074,126.2688,-17710.61,336.2053,-30.52806,354.9143,0,0
9.011678,6754.994,235.1155,-17594.4,331.4067,-228.5157,309.0202,0,0
9.028295,6724.725,397.1721,-17458.21,332.1407,-319.2626,103.5865,0,0
9.06153,6692.918,511.0249,-17479.25,328.717,-457.9196,-12.1956,0,0
9.111369,6672.554,583.9641,-17352.7,339.1993,-575.2551,-6.530177,0,0
9.16122,6624.525,672.3927,-17126.12,347.5802,-646.2498,-58.32822,0,0
9.16122,6578.335,821.9367,-17023.09,354.2854,-660.9203,-106.9216,0,0
9.177843,6507.875,1007.673,-16951.33,355.2453,-606.129,-89.85261,0,0
9.244295,6463.704,1064.834,-16784.23,360.581,-445.443,3.280391,0,0
9.244295,6510.554,1038.023,-16676.89,355.9416,-335.7519,100.425,0,0
9.244295,6526.616,924.4818,-16543.07,361.4271,-236.8594,88.51215,0,0
9.29415,6516.149,822.7396,-16469.86,356.8425,-285.2229,-1.470663,0,0
9.327308,6458.011,714.7944,-16449.01,357.9094,-319.3248,-42.41485,0,0
9.343999,6427.376,646.9226,-16413.71,358.8369,-271.8088,9.598165,0,0
9.377233,6442.618,560.9366,-16346.2,355.2022,-320.1979,31.06425,0,0
9.377233,6435.403,506.8423,-16218.42,356.9696,-451.4672,-10.01026,0,0
9.427087,6416.85,486.0916,-16183.25,358.4156,-477.3774,-47.16955,0,0
9.427087,6388.797,474.2044,-16154.17,350.7365,-377.2787,-95.66896,0,0
9.476937,6414.713,480.168,-16132.63,344.9595,-421.0447,-195.6814,0,0
9.476937,6386.768,573.9618,-16066.51,345.0767,-329.3892,-189.202,0,0
9.526795,6349.98,692.6279,-15991.31,349.6978,-212.9865,-156.6574,0,0
9.526795,6296.713,828.9346,-15905.4,348.891,-151.5659,-275.3575,0,0
9.609871,6241.079,889.8409,-15850.69,357.2144,-74.79576,-372.834,0,0
9.609871,6222.664,901.7457,-15834.82,345.9277,-56.76076,-378.8409,0,0
9.659731,6218.529,876.12,-15845.8,346.2257,-148.7908,-396.2294,0,0
9.692886,6123.569,829.5881,-15812.36,342.1003,-263.9619,-384.6803,0,0
9.692886,6076.798,747.2368,-15902.59,334.5926,-242.3432,-246.0951,0,0
9.742804,6101.477,680.8596,-15749.83,337.8001,-296.3012,-246.2473,0,0
9.742804,6034.679,622.442,-15664.23,340.3385,-358.9964,-449.3135,0,0
9.792652,5992.234,581.3275,-15694.8,342.3539,-161.2714,-425.6724,0,0
9.792652,5966.394,535.8195,-15764.68,348.3912,-55.14225,-355.373,0,0
9.825888,5934.558,535.7793,-15749.51,344.1965,-167.5688,-389.6917,0,0
9.825888,5918.202,564.9894,-15690.57,345.4684,-129.6625,-402.9729,0,0
9.875746,5897.167,551.1401,-15629.49,355.3515,23.54539,-444.1804,0,0
9.92559,5874.859,546.4321,-15654.65,367.3708,-15.59915,-492.5779,0,0
9.92559,5854.989,550.9304,-15676.19,367.7018,-81.42623,-388.2559,0,0
9.958823,5808.26,555.8008,-15668.48,372.3771,-48.69027,-221.2915,0,0
9.958823,5795.389,550.9565,-15688.44,371.5056,-155.4686,-221.9762,0,0
10.00867,5758.641,534.2378,-15654.36,366.39,-305.1019,-211.1628,0,0
10.00867,5729.194,525.0681,-15585.79,366.9006,-198.8843,-91.3132,0,0
10.05852,5720.928,530.5457,-15596.36,367.2867,-223.0078,-46.39765,0,0
10.05852,5692.35,519.5131,-15606.7,358.7144,-226.1279,-59.22396,0,0
10.09175,5719.189,539.0533,-15641.33,361.0283,-228.6742,-87.12949,0,0
10.10837,5737.442,547.5987,-15598.22,358.3777,-203.0869,-123.7253,0,0
10.1416,5713.631,573.1715,-15663.08,360.794,-236.0638,-131.4233,0,0
10.19145,5749.622,534.1643,-15701.99,362.6522,-397.1699,-53.54498,0,0
10.19145,5747.129,564.329,-15633.53,355.2159,-376.288,-36.88461,0,0
10.2413,5736.231,591.9849,-15568.43,353.9739,-56.61243,-3.975543,0,0
10.2413,5744.409,587.7363,-15611.37,353.0454,-32.09523,11.68221,0,0
10.29115,5722.868,575.6825,-15588.59,352.3579,-252.4507,31.00988,0,0
10.29115,5673.088,604.2054,-15593.14,360.7178,-278.1199,36.50776,0,0
10.32439,5710.373,616.0894,-15651.93,362.6903,-291.7569,113.4052,0,0
10.32439,5759.948,612.9885,-15557.2,355.3359,-375.0908,68.1192,0,0
10.37424,5752.348,582.9127,-15451.56,345.2889,-304.723,3.640986,0,0
10.37424,5743.092,535.5773,-15559.43,350.928,-215.4513,-30.76541,0,0
10.50718,5717.087,530.5256,-15550.3,359.6999,-205.8155,15.00272,0,0
10.50718,5694.942,511.3248,-15528.09,366.4172,-246.6552,-8.383181,0,0
10.55704,5689.098,521.2067,-15483.78,367.1142,-175.1066,11.45276,0,0
10.55704,5697.965,500.1473,-15469.21,372.063,-147.8437,-24.55393,0,0
10.60689,5722.502,479.8082,-15498.54,371.3942,-170.8894,-72.75575,0,0
10.60689,5717.99,462.2723,-15481.68,366.427,-134.9055,-64.25874,0,0
10.64012,5718.943,454.665,-15521.46,367.0442,-122.2098,-41.44694,0,0
10.64012,5709.679,451.3391,-15510.38,367.5052,-181.3716,-11.32698,0,0
10.68998,5701.476,470.1163,-15490.33,372.2773,-225.057,1.612057,0,0
10.72321,5685.243,464.7688,-15442.44,371.4774,-223.2748,17.71369,0,0
10.73983,5680.625,450.9202,-15427.65,366.4142,-260.6317,-13.64282,0,0
10.77305,5672.721,447.2003,-15414.99,371.3934,-243.6782,-18.10705,0,0
10.77305,5670.072,457.8784,-15415.08,370.7568,-230.6074,-23.01109,0,0
10.88936,5684.742,426.3678,-15430.48,370.2539,-243.8095,-32.11194,0,0
10.88936,5708.202,439.0563,-15463.12,365.4244,-252.1747,-25.56729,0,0
10.9226,5706.208,430.153,-15471.23,357.2941,-200.046,32.54877,0,0
10.9226,5701.347,420.2354,-15498.21,359.9495,-216.6613,110.909,0,0
10.95584,5695.411,423.9539,-15521.88,366.4248,-232.6978,138.404,0,0
10.97246,5690.881,400.4261,-15520.81,371.378,-250.746,139.0933,0,0
11.00569,5704.055,399.2844,-15517.43,375.154,-271.6792,174.3929,0,0
11.00569,5691.979,416.38,-15507.89,373.5895,-236.0627,216.4684,0,0
11.03892,5711.557,416.3669,-15437.17,372.372,-225.3684,244.5483,0,0
11.07216,5743.139,440.9086,-15462.7,380.2868,-235.7232,227.2561,0,0
11.08878,5733.987,442.0869,-15458.83,373.02,-252.7549,265.305,0,0
11.10539,5740.201,417.6122,-15407.01,363.0102,-260.4593,259.5338,0,0
11.15524,5727.151,427.8301,-15419.39,368.6497,-347.6933,180.097,0,0
11.15524,5759.208,435.7761,-15453.23,364.1017,-369.0539,174.3624,0,0
11.22172,5814.652,408.7226,-15347.2,369.489,-436.3199,115.1419,0,0
11.23833,5826.948,434.691,-15240.69,369.1769,-359.4065,-50.79114,0,0
11.25495,5818.377,412.5634,-15348.96,360.0706,-269.7909,-91.42731,0,0
11.27156,5777.246,392.4298,-15379.92,366.4088,-257.6395,-116.9134,0,0
11.3048,5751.175,415.9601,-15383.72,366.8316,-276.0297,-101.6792,0,0
11.3048,5734.488,436.3006,-15388.88,376.0179,-165.1615,-45.35421,0,0
11.33803,5836.917,438.6349,-15616.62,369.7362,-12.91559,24.27884,0,0
11.35465,5863.032,416.0954,-15664.18,364.9207,10.58589,71.24525,0,0
11.37127,5818.478,377.8847,-15346.59,365.6708,-131.8149,340.5833,0,0
11.4045,5912.694,374.2878,-15168.95,375.1115,28.39968,320.3703,0,0
11.42112,5926.841,349.5574,-15224.07,369.0278,336.8721,-13.68692,0,0
11.45435,5960.537,279.8909,-15447.27,368.7976,76.03364,-244.6352,0,0
11.48758,5964.832,294.505,-15488.43,364.1876,-376.5918,-122.4674,0,0
11.55405,5926.688,286.0798,-15411.16,365.0976,-492.5098,45.41854,0,0
11.57067,5837.333,254.4763,-15380.77,365.8003,-646.1495,139.0479,0,0
11.63714,5745.553,259.4647,-15312.14,366.3423,-773.2363,134.0554,0,0
11.63714,5664.326,330.1035,-15326.26,366.7599,-640.4639,151.0612,0,0
11.68699,5632.354,409.8343,-15448.02,375.9433,-388.3154,232.5184,0,0
11.68699,5713.485,539.5328,-15471.33,374.092,-318.4861,165.6798,0,0
11.72023,5847.772,654.0106,-15374.89,372.6595,-325.5713,-99.27296,0,0
11.75346,6002.491,653.555,-15157.09,375.983,-228.137,-251.343,0,0
11.75346,6004.111,643.7839,-15016.37,374.0786,134.6473,-97.01785,0,0
11.7867,5956.105,525.0161,-15135.49,372.6078,603.6522,-115.3364,0,0
11.81994,5872.459,353.0111,-15313.65,371.4732,643.0628,-202.6774,0,0
11.86979,5825.995,163.9259,-15434.65,379.4618,198.4621,-490.019,0,0
11.90302,5829.167,49.71586,-15432.93,376.6923,-122.0478,-582.5508,0,0
11.93626,5808.301,-31.29991,-15459.12,365.6932,-69.50471,-536.8425,0,0
11.98611,5740.28,-42.44415,-15653.97,357.2823,-190.9014,-238.4066,0,0
12.01935,5721.611,19.8211,-15631.87,359.735,-484.2356,-120.8395,0,0
12.01935,5729.689,174.6493,-15376.17,366.0672,-524.6774,-143.7257,0,0
12.08581,5730.521,311.3156,-15205.91,362.0598,-165.3785,-154.4639,0,0
12.08581,5741.299,337.35,-15288.68,363.4383,227.1319,-218.7506,0,0
12.11905,5709.809,245.3756,-15449.77,368.9366,66.69781,-308.109,0,0
12.15228,5638.266,131.9459,-15550.79,373.1445,-177.1464,-272.7313,0,0
12.15228,5594.927,79.89265,-15575.67,367.4921,-408.918,-221.9945,0,0
12.20213,5604.285,56.10065,-15494.58,367.5973,-553.9072,-105.0796,0,0
12.23537,5645.083,89.42347,-15434.48,367.6796,-400.6068,114.837,0,0
12.2686,5637.828,166.3674,-15420.52,363.3128,-238.1151,285.7043,0,0
12.2686,5623.691,234.4061,-15435.29,364.4122,-232.4022,302.8748,0,0
12.31845,5614.274,294.3424,-15437.67,374.1248,-240.4041,343.3403,0,0
12.35168,5632.848,333.526,-15369.63,368.253,-267.4788,397.4443,0,0
12.40153,5653.96,326.8191,-15346.44,363.7567,-304.6674,414.5582,0,0
12.41815,5731.235,335.9574,-15429.64,355.8931,-361.4297,375.3946,0,0
12.468,5778.205,307.3626,-15488.86,349.9005,-477.0934,484.3867,0,0
12.468,5824.015,272.1075,-15467.54,354.2155,-587.1975,583.3676,0,0
12.50123,5866.621,217.4388,-15421.17,357.5481,-746.2692,562.6204,0,0
12.53447,5915.545,196.7772,-15370.15,355.6878,-723.7126,527.587,0,0
12.5677,5947.054,177.8237,-15419.81,358.717,-694.0318,531.8899,0,0
12.5677,5998.41,214.4951,-15436.76,352.188,-729.6478,521.2148,0,0
12.61755,6023.878,294.7663,-15427.54,356.08,-726.6038,505.5196,0,0
12.65078,6072.699,379.4211,-15416.01,359.0779,-622.2882,533.9788,0,0
12.70063,6093.898,426.2466,-15380.59,356.952,-518.8275,533.6324,0,0
12.71725,6073.994,420.7461,-15365.74,359.7697,-538.9898,478.8723,0,0
12.76709,6096.925,457.191,-15379.97,361.934,-597.8358,400.0686,0,0
12.76709,6154.851,526.793,-15390.93,363.5924,-540.2278,468.969,0,0
12.80033,6197.371,570.6812,-15294.12,364.8595,-548.4306,476.3434,0,0
12.83357,6189.262,559.3566,-15220.27,370.2554,-533.076,404.2157,0,0
12.8668,6219.996,521.3265,-15260.53,369.9377,-491.9827,371.1154,0,0
12.91665,6277.115,515.0361,-15306.07,369.678,-494.1612,410.9213,0,0
12.94988,6305.601,551.9207,-15290.17,369.4644,-414.8178,542.1951,0,0
12.98312,6309.926,584.1331,-15197.33,373.7186,-426.404,604.4574,0,0
12.99974,6382.198,561.7581,-15146.61,372.522,-474.3497,549.7867,0,0
13.03298,6442.119,570.7827,-15170.33,376.0182,-506.8161,433.1685,0,0
13.0662,6441.535,588.3431,-15165.66,374.238,-507.6945,541.1132,0,0
13.09944,6462.257,611.3135,-15171.37,368.4235,-430.9416,637.6962,0,0
13.09944,6531.427,618.4562,-15141.78,359.5347,-464.4318,596.317,0,0
13.13267,6537.879,616.8126,-15137.28,361.6071,-673.9243,538.3381,0,0
13.21575,6518.512,667.1849,-15068.9,367.6353,-700.8534,529.0229,0,0
13.23237,6545.946,719.6249,-15097.96,367.8153,-653.8752,509.9302,0,0
13.24899,6583.724,762.4749,-15071.93,367.9482,-572.8832,625.4907,0,0
13.28222,6598.367,746.9561,-15039.2,376.9076,-468.0022,611.5325,0,0
13.28222,6654.029,809.7864,-15031.3,379.3107,-410.7279,614.7844,0,0
13.33208,6708.896,813.9583,-15041.29,381.1205,-460.3851,617.9382,0,0
13.36531,6899.341,828.6367,-15061.61,378.0423,-620.3173,497.514,0,0
13.39854,6859.759,831.4238,-15075.35,388.9554,-724.1665,460.8561,0,0
13.39854,6872.431,862.8033,-15028.62,379.5384,-609.5347,533.8513,0,0
13.44839,6890.817,845.1389,-14985.53,372.3046,-486.8864,553.5444,0,0
13.48162,6936.87,827.6683,-14984.06,375.6235,-700.1638,465.0892,0,0
13.51486,7009.607,863.5968,-14951.31,378.1524,-836.1451,449.4181,0,0
13.5481,7005.188,894.9378,-14842.58,371.2087,-812.6642,475.3905,0,0
13.58132,6991.632,953.7438,-14782.26,370.323,-673.5519,440.4073,0,0
13.58132,6984.478,972.5463,-14847.72,374.078,-530.7382,344.434,0,0
13.63118,7022.19,969.5776,-14858.63,376.946,-533.3381,286.7331,0,0
13.66441,7025.547,999.8388,-14859.84,379.1286,-590.7726,273.6913,0,0
13.69765,7011.515,1022.277,-14801.51,380.7819,-528.5918,154.7161,0,0
13.73079,6972.077,1029.85,-14739.79,377.5956,-569.6713,-145.6452,0,0
13.78074,6964.295,1047.113,-14754.25,375.1439,-545.4239,-429.6778,0,0
13.81396,6975.277,1040.776,-14810.34,382.1234,-422.195,-549.3923,0,0
13.81396,6977.382,1068.49,-14895.92,374.1519,-390.4694,-569.9774,0,0
13.84721,6953.894,1097.878,-14872.01,376.909,-477.0549,-693.3621,0,0
13.88045,6889.857,1139.593,-14889.5,379.0118,-370.6828,-742.1271,0,0
13.93028,6866.967,1113.143,-14962.99,371.7468,-264.7004,-658.1567,0,0
13.93028,6852.399,1105.505,-15003.84,370.6204,-236.7927,-573.9617,0,0
13.96352,6802.16,1111.22,-14995.23,374.1968,-173.7039,-520.3651,0,0
14.02998,6770.166,1110.562,-14944.33,372.5027,-82.1287,-492.0752,0,0
14.02998,6753.334,1060.748,-14938.72,380.0708,-115.9777,-503.8008,0,0
14.07983,6745.942,1085.334,-14984.42,381.419,-78.72878,-473.0916,0,0
14.11307,6659.39,1085.982,-14997.26,373.5713,-153.2549,-476.775,0,0
14.14631,6603.27,1093.805,-15012.63,371.9955,-226.1793,-554.201,0,0
14.22938,6582.763,1107.126,-15063.12,379.6569,-229.8161,-545.8873,0,0
14.22938,6585.124,1102.494,-15128.2,376.6478,-163.4736,-432.1248,0,0
14.26263,6542.933,1098.55,-15056.98,378.7699,-228.1339,-391.1033,0,0
14.26263,6483.329,1088.519,-14980.16,375.9538,-170.8047,-482.9092,0,0
14.29586,6457.04,1093.811,-15059.88,378.2261,-29.60219,-604.2274,0,0
14.3291,6454.077,1057.667,-15117.47,375.5269,-15.5846,-570.3718,0,0
14.37895,6390.297,1046.397,-15162.42,377.8904,-11.1489,-559.6362,0,0
14.37895,6353.188,1017.654,-15134.44,370.8311,-11.80268,-542.0291,0,0
14.41219,6350.954,985.5793,-15097.25,374.2989,-6.618119,-534.2022,0,0
14.44541,6353.233,983.1623,-15122.9,368.0934,131.8451,-472.9933,0,0
14.47865,6310.182,945.8544,-15236.48,367.7896,111.7326,-390.4785,0,0
14.49527,6255.754,919.5851,-15274.24,367.5731,-59.88759,-349.755,0,0
14.56174,6232.586,925.0899,-15204.03,371.8544,-132.4241,-392.101,0,0
14.59497,6174.651,915.0221,-15198.67,370.7061,-67.69221,-420.4137,0,0
14.61158,6148.903,887.5086,-15260.73,365.4029,-65.55257,-412.1705,0,0
14.64482,6155.567,871.0666,-15286.76,365.7929,-181.3943,-400.067,0,0
14.67805,6128.268,875.3161,-15270.77,370.5401,-183.444,-412.7457,0,0
14.67805,6128.157,856.6133,-15238.17,369.749,-114.143,-382.6214,0,0
14.71128,6144.386,864.6816,-15249.46,373.5812,-61.54859,-368.5507,0,0
14.74452,6130.947,833.3948,-15250.04,376.5128,2.511114,-401.4326,0,0
14.79436,6096.997,797.5167,-15250.17,374.3168,19.82438,-423.3887,0,0
14.81098,6021.904,796.9666,-15269.93,381.494,51.73273,-438.0444,0,0
14.86084,5983.021,747.0112,-15313.54,382.5377,-11.02926,-461.2119,0,0
14.89407,5965.26,711.3943,-15401.93,383.3148,-52.49294,-491.6862,0,0
14.91069,5975.847,689.0331,-15377.06,383.8874,-106.3346,-512.7432,0,0
14.92731,5929.41,674.6327,-15245.64,388.7343,-52.64082,-602.1659,0,0
14.97716,5844.911,655.2557,-15287.75,392.4126,10.15391,-734.0508,0,0
15.01039,5814.505,612.1453,-15411.7,390.758,-86.39186,-772.7079,0,0
15.01039,5779.003,610.7566,-15469.52,380.595,-69.84112,-724.9807,0,0
15.04363,5751.809,577.0311,-15438.93,381.668,51.5515,-610.7182,0,0
15.09346,5716.578,579.5231,-15438.24,378.0486,71.2594,-582.3588,0,0
15.12671,5718.42,547.669,-15449.4,375.2766,-17.38123,-563.3675,0,0
15.15995,5702.055,550.489,-15464.09,382.0225,43.88974,-473.5119,0,0
15.19318,5657.326,521.1036,-15463.76,387.1774,26.22355,-430.7112,0,0
15.2098,5646.318,491.4679,-15480.76,382.24,-19.14395,-386.1012,0,0
15.24303,5615.677,482.7247,-15460.05,387.3128,-60.12,-313.0667,0,0
15.27627,5616.543,509.9036,-15500.27,395.6076,-85.44224,-259.1433,0,0
15.3095,5571.683,492.4803,-15498.46,388.6261,-70.74396,-211.9309,0,0
15.34274,5545.034,477.4743,-15495.51,392.1223,-78.33601,-236.1358,0,0
15.39259,5502.424,478.7257,-15500.59,390.3406,-122.3635,-243.4839,0,0
15.42582,5504.134,451.4025,-15497.42,393.3857,-125.2242,-235.3899,0,0
15.42582,5475.459,453.1948,-15511.22,382.3959,-146.1373,-261.9966,0,0
15.45906,5466.736,448.4425,-15494.82,387.2745,-170.3053,-165.5341,0,0
15.49229,5446.663,429.7988,-15475.28,382.1358,-102.7533,-29.3321,0,0
15.54214,5450.019,423.7985,-15505.47,382.6335,-111.6507,-74.03294,0,0
15.54214,5465.71,414.1709,-15460.69,391.8768,-120.9058,-93.14311,0,0
15.57538,5459.739,400.6528,-15481.59,390.0699,-110.4751,-52.69497,0,0
15.64185,5489.215,375.2975,-15517.3,384.2385,-121.2804,-43.69919,0,0
15.65846,5467.064,361.9589,-15562.06,379.7717,-107.3338,-49.07821,0,0
15.6917,5463.001,326.8047,-15579.31,380.7916,-152.8487,-16.39539,0,0
15.72493,5465.003,329.2824,-15576.6,381.5785,-164.8553,2.735736,0,0
15.72493,5452.774,309.5767,-15526.5,377.7536,-183.033,30.03589,0,0
15.75818,5450.691,306.1355,-15501.19,374.8376,-148.8495,40.02109,0,0
15.79139,5454.129,310.6931,-15562.5,377.0549,-130.3321,34.82331,0,0
15.84126,5475.048,279.2375,-15589.2,392.0589,-120.8132,44.63628,0,0
15.87449,5466.066,254.5955,-15501.83,394.6612,-182.7395,90.04829,0,0
15.89111,5480.711,258.4623,-15492.41,387.7627,-280.6693,114.4542,0,0
15.95757,5486.799,270.823,-15527.19,391.3324,-322.5814,32.19226,0,0
15.95757,5513.993,253.0707,-15668.87,385.1847,-379.1292,73.98711,0,0
15.97418,5533.998,258.8043,-15636.15,384.9057,-512.9666,136.752,0,0
