Time,Ax,Ay,Az,Gx,Gy,Gz
0.0165964,-16408,-384,-132,-3168,6,171
0.01659684,-16556,-424,-208,-3168,149,275
0.01659758,-16480,-456,-276,-3168,187,275
0.01659758,-16316,-456,-108,-3168,-75,238
0.01659669,-16580,-280,-216,-3136,-142,267
0.01659778,-16456,-304,-320,-3168,-13,76
0.01660047,-16432,-344,-324,-3200,31,-140
0.01659513,-16568,-328,-360,-3168,-18,-90
0.01612107,-16524,-644,-116,-3168,-218,58
0.01659827,-16488,-524,-72,-3168,-345,320
0.01658585,-16368,-440,-84,-3184,-414,294
0.01658585,-16396,-232,-332,-3168,-332,159
0.01661924,-16472,-300,-344,-3152,-192,214
0.01659867,-16480,-240,-168,-3152,-35,139
0.01659669,-16524,-332,-192,-3184,-26,188
0.01659749,-16556,-220,-168,-3168,143,316
0.01659788,-16516,-348,-176,-3168,227,267
0.01659788,-16524,-340,-336,-3184,212,535
0.01659559,-16204,-720,-312,-3200,223,131
0.01659801,-15864,-1156,76,-3200,-64,22
0.01659524,-16196,-1232,-292,-3152,-332,-523
0.01659524,-16444,-1212,-72,-3184,-832,-389
0.01659628,-16876,-432,-584,-3152,-726,615
0.01659907,-17164,0,-964,-3184,-3,459
0.01659786,-16292,-220,-232,-3184,271,541
0.01659786,-15868,-232,0,-3168,285,340
0.01659721,-16160,164,68,-3152,306,-275
0.01659901,-16560,-24,-144,-3152,27,-643
0.01659759,-16416,-588,-232,-3168,-266,-1328
0.0165982,-16508,-1120,-168,-3152,-483,-909
0.0165974,-16556,-928,-120,-3152,-594,-519
0.01659697,-16548,-772,72,-3184,-431,-324
0.01659922,-16676,-320,144,-3168,-239,48
0.01659922,-16400,-84,-40,-3168,82,81
0.01659813,-16432,0,12,-3184,344,-181
0.01659931,-16424,-328,224,-3168,465,-462
0.0165975,-16532,-496,260,-3184,335,-380
0.01659752,-16628,-604,328,-3104,369,-351
0.01659752,-16452,-624,440,-3168,282,-438
0.01659969,-16596,-456,24,-3136,295,-132
0.01659969,-16412,160,-244,-3168,653,290
0.01659653,-16272,-712,12,-3168,1395,-157
0.01660334,-16128,-988,876,-3152,931,-166
0.01659513,-16392,-888,652,-3168,573,-69
0.01659677,-16408,-836,652,-3184,371,-158
0.01659875,-16484,-724,512,-3152,323,-117
0.01659617,-16440,-996,864,-3152,404,-186
0.01659812,-16500,-672,504,-3200,184,222
0.01659644,-16544,-588,24,-3184,412,-224
0.01659644,-16364,-804,540,-3120,454,-257
0.01659672,-16344,-860,872,-3152,22,375
0.01659738,-16276,-640,404,-3168,-122,175
0.0165983,-16380,-484,428,-3136,-49,10
0.0165983,-16380,-360,640,-3184,-268,439
0.01664514,-16544,-568,224,-3152,84,83
0.01660895,-16332,-884,956,-3152,375,-308
0.01660895,-16524,-668,864,-3168,210,-66
0.01660694,-16440,-740,700,-3168,218,2
0.01660694,-16364,-676,536,-3152,331,103
0.01661211,-16348,-748,560,-3120,509,-61
0.01661211,-16400,-780,940,-3152,268,80
0.01660493,-16400,-904,648,-3136,150,221
0.01660819,-16444,-848,700,-3120,30,279
0.01660819,-16352,-936,668,-3120,-131,369
0.01660673,-16356,-848,620,-3152,-51,67
0.01618628,-16340,-572,524,-3184,-53,-85
0.01701503,-16316,-608,548,-3152,-95,-238
0.01660933,-16480,-588,568,-3168,3,-177
0.01660519,-16324,-668,664,-3152,-22,-152
0.01660519,-16332,-700,648,-3136,-60,42
0.01660762,-16312,-1080,860,-3168,-130,-218
0.01660762,-16088,-1008,964,-3168,-489,-431
0.0165961,-16484,-564,428,-3168,-223,-796
0.01659589,-16716,-724,896,-3136,504,-688
0.01659589,-16376,-984,1128,-3136,442,-77
0.01659231,-16156,-1064,908,-3168,87,31
0.01659231,-16248,-832,672,-3120,-3,-14
0.01659327,-16612,-380,788,-3152,81,-264
0.01645115,-16456,-724,940,-3152,147,-254
0.01659469,-16460,-720,1100,-3152,47,-66
0.01659469,-16320,-840,1008,-3120,2,8
0.01659477,-16312,-920,956,-3152,117,-109
0.01659554,-16504,-1068,1220,-3120,150,66
0.01659373,-16416,-868,1108,-3152,32,251
0.01659411,-16280,-832,1132,-3152,49,307
0.01659531,-16324,-956,908,-3152,38,441
0.01659531,-16168,-1052,804,-3136,132,124
0.01659665,-16404,-888,1300,-3152,-34,127
0.01659535,-16412,-712,832,-3168,-28,206
0.01659535,-16228,-928,1148,-3152,-61,132
0.01664251,-16388,-888,956,-3168,-136,127
0.01659559,-16240,-832,884,-3136,-107,173
0.01659391,-16416,-776,1072,-3136,-87,340
0.01659391,-16168,-992,916,-3152,-63,118
0.01659495,-16164,-1156,900,-3136,-28,-45
0.01659279,-16548,-1020,1024,-3184,-75,-198
0.01659279,-16448,-1084,1532,-3136,-181,221
0.01659311,-16292,-868,848,-3168,-288,588
0.01659495,-16232,-724,756,-3152,-64,137
0.01659485,-16324,-868,1004,-3120,61,52
0.01659534,-16440,-944,1108,-3120,7,183
0.01659512,-16488,-880,1164,-3136,-52,197
0.01659448,-16240,-864,948,-3152,-165,277
0.01659448,-16324,-928,840,-3136,-140,252
0.01659411,-16308,-952,1068,-3120,-89,-7
0.01659402,-16440,-1012,976,-3152,2,7
0.01659471,-16496,-1028,1332,-3136,-75,166
0.01659471,-16528,-1032,1080,-3136,-461,839
0.01659462,-16248,-972,736,-3152,-282,751
0.01659462,-16220,-704,832,-3168,-18,509
0.01659331,-16148,-740,784,-3136,-51,222
0.01659551,-16276,-820,624,-3152,26,-55
0.01659551,-16300,-896,864,-3136,146,-118
0.01659574,-16384,-1144,1068,-3136,78,50
0.01659574,-16308,-1064,988,-3136,-211,68
0.01659471,-16324,-956,832,-3120,-244,19
0.01659457,-16112,-1064,1092,-3152,-245,-196
0.01659457,-16488,-964,1140,-3152,-253,-35
0.01659642,-16236,-1084,1096,-3136,-195,124
0.01659478,-16432,-820,756,-3168,-102,-38
0.01659478,-16424,-888,1248,-3152,-50,29
0.01455696,-16220,-1100,1208,-3152,-185,568
0.01659163,-16232,-972,804,-3136,-131,205
0.01659163,-16384,-816,820,-3120,29,254
0.01659584,-16372,-1084,968,-3104,19,154
0.01659416,-16432,-1044,1216,-3168,-60,366
0.01659715,-16456,-960,836,-3120,-232,407
0.01659715,-16332,-936,820,-3104,-79,279
0.01659516,-16240,-920,836,-3120,-83,224
0.01659481,-16292,-1064,884,-3136,-96,146
0.01659481,-16340,-1052,964,-3136,-272,77
0.01659442,-16272,-900,1004,-3136,-196,159
0.01659424,-16292,-924,1124,-3152,-174,68
0.01659453,-16440,-1044,980,-3120,-84,7
0.01659453,-16424,-904,1136,-3120,-86,105
0.01659449,-16376,-1016,976,-3120,-193,256
0.01659616,-16260,-980,928,-3168,-39,215
0.01659436,-16360,-860,804,-3120,-126,270
0.01659436,-16372,-1076,880,-3120,-37,125
0.01659264,-16344,-996,928,-3120,-88,129
0.0165957,-16256,-1024,1020,-3088,-56,203
0.01665464,-16392,-1028,996,-3152,-34,104
0.01665464,-16336,-1060,1008,-3120,-225,150
0.01659498,-16360,-960,1036,-3120,-143,228
0.01659296,-16332,-968,944,-3120,-79,104
0.01659296,-16340,-980,944,-3136,-24,152
0.01659588,-16412,-1008,1032,-3120,-47,153
0.01659675,-16288,-1048,840,-3104,-59,185
0.01659531,-16308,-1016,732,-3136,-36,409
0.01659628,-16292,-1076,932,-3136,66,155
0.0165917,-16264,-1304,1196,-3120,-33,321
0.01661736,-16524,-996,872,-3120,-86,331
0.01659921,-16508,-1084,1124,-3120,-54,77
0.01659921,-16264,-956,960,-3136,-219,508
0.0165995,-16208,-952,712,-3120,-265,230
0.01659904,-16368,-756,760,-3088,-160,154
0.01659904,-16284,-1016,832,-3120,15,-15
0.0165989,-16276,-1276,1348,-3120,-31,434
0.01659944,-16528,-804,852,-3136,-336,669
0.01659784,-16488,-552,580,-3120,-368,214
0.01659768,-16408,-748,704,-3104,-259,-1
0.01660006,-16248,-1080,740,-3152,-86,97
0.01659839,-16368,-768,852,-3152,-88,174
0.01659839,-16472,-852,1032,-3104,-170,85
0.01660084,-16364,-796,764,-3088,-162,253
0.01659853,-16448,-768,736,-3088,-58,267
0.01659853,-16396,-896,888,-3088,102,79
0.01660127,-16268,-1044,1148,-3136,24,76
0.01660087,-16404,-832,808,-3120,-44,142
0.0165983,-16248,-944,868,-3104,-76,173
0.01671181,-16400,-896,724,-3104,-126,92
0.01671181,-16456,-780,744,-3136,-79,97
0.01659984,-16300,-760,808,-3136,-118,156
0.01659984,-16332,-900,836,-3120,-95,106
0.01659958,-16308,-960,960,-3136,-142,179
0.01659595,-16372,-860,816,-3104,-10,185
0.01659595,-16272,-940,888,-3120,11,135
0.01659967,-16252,-1012,916,-3088,-102,179
0.01659829,-16304,-780,664,-3136,-160,150
0.01641362,-16412,-792,696,-3104,1,55
0.01660012,-16348,-1004,1028,-3104,-47,-16
0.0166006,-16432,-872,904,-3104,-89,264
0.0166006,-16224,-768,800,-3136,-80,222
0.01660015,-16216,-1024,1056,-3136,-79,76
0.0165968,-16328,-824,732,-3120,-140,130
0.01659915,-16452,-896,832,-3104,81,-46
0.01659971,-16392,-904,904,-3104,-79,208
0.01659849,-16344,-1112,924,-3136,-31,323
0.01659849,-16264,-1032,1024,-3136,-204,321
0.01659922,-16488,-736,564,-3120,-126,328
0.01659948,-16444,-904,812,-3104,-2,80
0.0165992,-16320,-960,1008,-3136,5,60
0.0165992,-16340,-968,932,-3104,-142,184
0.01660142,-16376,-788,832,-3136,-22,137
0.01660136,-16332,-1116,1016,-3104,-187,204
0.01659752,-16316,-1116,732,-3136,-340,116
0.01659746,-16488,-888,852,-3120,-196,45
0.01659816,-16380,-860,904,-3104,-262,191
0.01659816,-16368,-928,840,-3136,-114,265
0.016602,-16296,-968,860,-3088,-133,184
0.0165998,-16336,-992,944,-3120,43,171
0.01660007,-16472,-952,1028,-3152,-88,183
0.01660007,-16432,-848,948,-3136,-158,101
0.01659909,-16448,-832,752,-3072,-180,100
0.01660061,-16320,-1048,776,-3104,-97,78
0.01659858,-16380,-1040,904,-3104,-110,4
0.01659858,-16548,-1008,1044,-3104,-144,119
0.01696471,-16360,-864,956,-3136,-204,263
0.0166005,-16268,-844,784,-3088,-16,228
0.01659909,-16248,-1088,880,-3120,-73,53
0.01659901,-16420,-1020,980,-3088,-285,250
0.01659901,-16408,-892,796,-3120,-260,324
0.01659758,-16280,-884,880,-3088,-234,219
0.01660132,-16268,-708,888,-3088,-127,234
0.01660132,-16284,-820,816,-3120,-51,67
