Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
8.607054,0,0,0,0,0,0,0,0
8.607054,-16460,-364,-2068,-1184,-124,1462,0,0
8.789586,-16240,-728,-2604,-1136,-201,257,0,0
8.806179,-16540,-324,-2080,-1152,-48,1354,0,0
8.806179,-16620,-816,-2868,-1168,-430,2761,0,0
8.822772,-15968,-908,-2944,-1136,-50,1636,0,0
8.822772,-16216,-1248,-2712,-1152,-38,1592,0,0
8.822772,-16324,-1000,-2972,-1152,25,796,0,0
8.822772,-16024,-1480,-2728,-1136,-331,-303,0,0
8.822772,-16228,-1300,-3192,-1152,-601,483,0,0
8.822772,-16196,-1036,-3192,-1136,-734,315,0,0
8.889146,-16292,-772,-3120,-1152,-639,1287,0,0
8.889146,-16348,-1044,-3300,-1152,-210,1202,0,0
8.955517,-16056,-900,-2948,-1120,-63,743,0,0
8.988707,-16316,-1000,-3260,-1168,219,359,0,0
9.038483,-16260,-992,-3032,-1152,345,668,0,0
9.038483,-16056,-1020,-3060,-1152,371,358,0,0
9.071669,-16172,-1296,-3496,-1120,461,425,0,0
9.088264,-15864,-1328,-3252,-1120,509,-61,0,0
9.121447,-16188,-1512,-3624,-1152,390,481,0,0
9.171597,-16360,-1416,-3304,-1120,149,-27,0,0
9.221412,-16024,-1352,-3000,-1120,-28,120,0,0
9.254611,-16072,-1220,-3296,-1136,225,-362,0,0
9.271208,-16232,-1420,-3308,-1120,128,-326,0,0
9.354206,-16392,-1240,-3288,-1152,-37,12,0,0
9.354206,-16132,-1272,-3200,-1152,-299,388,0,0
9.387403,-16348,-1108,-3168,-1152,-204,528,0,0
9.404003,-16048,-1348,-3356,-1120,-110,550,0,0
9.437199,-16132,-1044,-3408,-1120,26,-15,0,0
9.453797,-16336,-1180,-3128,-1152,72,-72,0,0
9.536798,-16164,-1020,-3076,-1136,39,-189,0,0
9.569995,-16000,-912,-3240,-1152,-52,-387,0,0
9.586594,-16276,-936,-3216,-1168,190,-443,0,0
9.619792,-16336,-1044,-3208,-1120,-120,370,0,0
9.619792,-16192,-1080,-3148,-1136,53,1104,0,0
9.719387,-16116,-1156,-3476,-1152,84,928,0,0
9.752584,-16068,-1124,-3184,-1152,257,-211,0,0
9.752584,-16148,-1360,-2912,-1152,366,263,0,0
9.802382,-16148,-1276,-3492,-1136,253,298,0,0
9.835579,-16192,-1292,-3132,-1136,-5,-41,0,0
9.85218,-16332,-1088,-3236,-1120,-110,-138,0,0
9.901976,-16196,-972,-3196,-1104,641,-1051,0,0
9.901976,-16256,-1216,-3312,-1168,746,-1027,0,0
9.935174,-16320,-924,-2988,-1152,1115,-1094,0,0
9.968371,-16152,-1024,-2980,-1152,1191,-1899,0,0
9.984969,-16284,-1292,-2796,-1120,1048,-2252,0,0
10.03458,-16324,-1520,-2284,-1136,1182,-2368,0,0
10.03458,-16224,-1644,-2520,-1136,595,-772,0,0
10.06796,-16480,-1584,-2312,-1104,375,497,0,0
10.11566,-16232,-1500,-2444,-1168,330,373,0,0
10.11566,-16032,-1772,-2580,-1136,42,-110,0,0
10.16755,-16128,-1732,-2240,-1152,-65,-326,0,0
10.16755,-16100,-1672,-2280,-1152,-160,-263,0,0
10.20076,-16284,-1600,-2152,-1136,-338,95,0,0
10.25055,-16488,-1652,-2336,-1136,-505,170,0,0
10.25055,-16300,-1460,-2144,-1152,-487,237,0,0
10.30034,-16072,-1508,-2388,-1152,-564,148,0,0
10.30034,-16264,-1540,-2272,-1120,-395,-16,0,0
10.35014,-16292,-1652,-2408,-1152,-425,-119,0,0
