Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
8.607054,0,0,0,0,0,0,0,0
8.607054,-9678.713,-18.53819,-1041.211,-510.6693,125.5002,1077.354,0,0
8.789586,-14954.05,-506.9873,-2173.341,-1019.155,-118.4201,678.2912,0,0
8.806179,-17674.42,-534.9501,-2455.596,-1272.367,-153.9717,1039.644,0,0
8.806179,-18837.82,-780.9399,-2955.732,-1383.199,-359.2837,1999.311,0,0
8.822772,-18963.85,-955.0959,-3244.67,-1409.465,-287.028,2007.301,0,0
8.822772,-19023.91,-1199.846,-3294.003,-1420.359,-231.6669,1977.791,0,0
8.822772,-19039.37,-1250.228,-3413.715,-1420.851,-168.8873,1635.496,0,0
8.822772,-18905.08,-1453.122,-3395.799,-1411.863,-255.4244,1007.901,0,0
8.822772,-18862.44,-1528.182,-3534.052,-1409.174,-403.8722,843.223,0,0
8.822772,-18811.5,-1496.587,-3627.718,-1401.203,-548.3759,675.9216,0,0
8.889146,-18795.52,-1395.281,-3671.355,-1399.441,-623.1124,842.1356,0,0
8.889146,-18791.7,-1396.638,-3751.459,-1397.382,-556.6776,939.3443,0,0
8.955517,-18699.38,-1357.1,-3712.534,-1386.162,-466.9312,886.9354,0,0
8.988707,-18684.54,-1351.812,-3762.07,-1389.044,-323.7587,745.7136,0,0
9.038483,-18639.48,-1342.926,-3734.655,-1385.156,-180.6392,719.4674,0,0
9.038483,-18527.83,-1340.025,-3714.392,-1379.844,-62.69341,618.3432,0,0
9.071669,-18444.97,-1406.506,-3805.985,-1364.636,53.35984,558.1935,0,0
9.088264,-18269.7,-1462.246,-3804.031,-1349.953,157.1983,383.073,0,0
9.121447,-18190.67,-1550.284,-3893.729,-1344.191,206.7789,393.3329,0,0
9.171597,-18146.65,-1587.833,-3867.991,-1328.153,180.6576,264.6355,0,0
9.221412,-17992.65,-1594.726,-3756.677,-1312.984,112.7647,206.3654,0,0
9.254611,-17860.85,-1559.27,-3744.635,-1303.12,130.8071,30.00036,0,0
9.271208,-17779.65,-1583.242,-3731.688,-1288.743,118.6084,-94.21357,0,0
9.354206,-17739.73,-1547.887,-3709.753,-1284.44,64.15074,-93.97153,0,0
9.354206,-17616.63,-1526.242,-3662.57,-1279.174,-49.67226,12.49411,0,0
9.387403,-17564.11,-1460.908,-3612.201,-1273.336,-109.3769,134.3087,0,0
9.404003,-17423.54,-1474.969,-3621.152,-1258.304,-127.8039,234.5607,0,0
9.437199,-17323.97,-1398.596,-3637.942,-1245.296,-103.0062,154.7188,0,0
9.453797,-17290.35,-1375.759,-3568.707,-1242.859,-70.32352,78.60201,0,0
9.536798,-17203.64,-1311.833,-3497.487,-1235.26,-53.69044,-11.17898,0,0
9.569995,-17079.58,-1231.211,-3485.065,-1232.688,-65.49639,-133.7038,0,0
9.586594,-17049.91,-1174.711,-3465.686,-1234.031,-6.736863,-241.661,0,0
9.619792,-17033.24,-1160.136,-3445.639,-1220.692,-47.13846,-97.53231,0,0
9.619792,-16970.63,-1157.789,-3410.888,-1213.937,-29.55226,217.1261,0,0
9.719387,-16892.37,-1175.944,-3472.548,-1212.287,-6.985916,409.526,0,0
9.752584,-16810.57,-1179.906,-3436.349,-1210.168,58.6263,241.2838,0,0
9.752584,-16762.13,-1247.247,-3330.988,-1207.742,139.3014,243.8855,0,0
9.802382,-16717.65,-1274.426,-3408.915,-1200.698,169.8492,255.7509,0,0
9.835579,-16688.89,-1298.534,-3366.878,-1194.608,121.7909,171.1263,0,0
9.85218,-16699.18,-1259.382,-3361.652,-1184.87,56.01072,79.80312,0,0
9.901976,-16663.31,-1196.307,-3344.859,-1172.397,213.8352,-242.4034,0,0
9.901976,-16646.77,-1214.804,-3362.541,-1180.045,363.6249,-481.2198,0,0
9.935174,-16646.5,-1147.333,-3284.819,-1180.958,580.0235,-680.8793,0,0
9.968371,-16594.74,-1122.794,-3221.825,-1181.171,765.7972,-1054.561,0,0
9.984969,-16587.04,-1177.75,-3121.586,-1172.012,867.0789,-1435.548,0,0
10.03458,-16587.87,-1282.395,-2902.282,-1169.019,980.2142,-1755.745,0,0
