Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
9.586675,0,0,0,0,0,0,0,0
9.586675,-9613.896,-328.2207,1282.609,-817.9512,109.896,358.3622,0,0
9.586675,-14925.09,-819.4752,1662.984,-1527.057,25.16033,143.8003,0,0
9.752539,-17539.64,-1081.656,1892.164,-1872.396,-147.0287,186.0558,0,0
9.769125,-18625.45,-1159.421,2018.485,-2020.97,-180.656,166.9733,0,0
9.785711,-18865.25,-1237.543,1998.426,-2068.845,-219.6351,212.3596,0,0
9.802296,-18917.67,-1232.033,1934.259,-2088.587,-203.8515,185.9474,0,0
9.81888,-18896.84,-1252.51,1863.218,-2085.98,-205.9729,210.8251,0,0
9.81888,-18957.88,-1284.394,1829.993,-2091.051,-205.3109,193.5921,0,0
9.81888,-18784.49,-1225.237,1812.911,-2091.84,-217.4982,178.4388,0,0
9.81888,-18869.11,-1265.129,1812.8,-2080.878,-222.1408,177.0593,0,0
9.81888,-18766.52,-1236.439,1764.095,-2081.378,-193.7138,120.97,0,0
9.81888,-18794.95,-1215.915,1830.26,-2080.658,-204.1224,143.0904,0,0
9.835467,-18760.04,-1226.826,1837.462,-2078.699,-209.5355,155.8647,0,0
9.852056,-18741.56,-1245.314,1802.768,-2075.24,-236.1194,190.3818,0,0
9.885223,-18733.43,-1280.621,1863.426,-2061.574,-267.1332,304.8653,0,0
9.885223,-18696,-1332.661,1825.832,-2047.824,-231.2945,250.0465,0,0
9.918399,-18724.89,-1376.454,1836.2,-2041.885,-235.6332,290.3451,0,0
9.951569,-18556.08,-1336.2,1802.138,-2024.751,-216.3012,236.6992,0,0
9.96815,-18414.85,-1284.627,1809.324,-2007.316,-263.1102,268.8978,0,0
10.00133,-18297.05,-1251.363,1803.404,-1985.403,-262.9408,242.748,0,0
10.00133,-18200.35,-1210.785,1790.594,-1968.966,-241.8907,217.9518,0,0
10.05108,-18026.44,-1190.128,1773.657,-1957.096,-224.7905,231.4214,0,0
10.05108,-17931.28,-1208.436,1730.45,-1940.226,-172.7208,196.7792,0,0
