TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-05-25 13:57:29.918,0.99374205,0.0,1.0682453,0.86691755,0.73904806,0.0,0.39010763,0.6052194,0.7011948,0.0,0.30408874,0.8604248,0.60718226,0.0,0.26776615,0.46823797,-0.030215692,0.0,-0.29923663,0.21239388,775.2381,704.3223,784.5055,770.80585,633.4066,0.19976806640625,0.18072509765625,0.96875,5.66741943359375,-1.89910888671875,-3.170166015625,1,2.0,4.0,1.0,2.0,60.00
2020-05-25 13:57:30.931,0.15874726,0.0,0.4618478,0.1398124,0.29593986,0.0,0.20602658,0.32879716,-0.47551847,0.0,0.34056878,0.101269715,0.4055634,0.0,0.19751132,0.591008,0.35736278,0.0,-0.3637658,0.38796413,806.6667,956.55676,802.6374,844.1392,647.50916,0.26641845703125,0.143310546875,0.96435546875,1.854248046875,-8.336639404296875,-6.422576904296875,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:31.937,0.10242389,0.0,0.5978166,0.7916783,0.29596874,0.0,0.062463332,1.1098967,-0.48627612,0.0,0.28898105,0.9146178,0.40795457,0.0,0.046910636,0.6793301,0.34084877,0.0,-0.24877107,0.36638415,784.90845,620.5128,780.4762,778.86444,663.22345,0.32720947265625,0.13427734375,0.936767578125,3.66363525390625,-6.71417236328125,-4.5159912109375,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:32.963,0.29226968,0.0,0.12068521,0.51603615,0.46707606,0.0,-0.093157195,0.7994327,0.6873854,0.0,0.25586143,0.92413783,0.66061914,0.0,0.12310229,0.58188343,0.291153,0.0,-0.34767073,0.22435512,759.92676,578.60803,794.57874,786.9231,853.8095,0.34149169921875,0.11651611328125,0.9244384765625,5.27862548828125,-3.9178466796875,-6.280517578125,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:33.982,0.39263782,0.0,0.48678374,0.17526565,0.26668766,0.0,-0.11756043,0.2689368,0.6731859,0.0,0.30767322,0.5361469,0.6876585,0.0,0.21037164,0.53006786,0.1228626,0.0,-0.4540935,0.16548616,801.8315,368.27838,695.05493,801.4286,898.5348,0.3765869140625,0.11376953125,0.9224853515625,5.241241455078125,-2.82623291015625,-0.964508056640625,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:35.020,0.5173736,0.0,0.786875,0.30728862,0.26639518,0.0,0.083695106,0.17208622,0.7009651,0.0,0.153872,0.71867406,0.6013615,0.0,0.2953337,0.5755075,0.31290147,0.0,-0.32604486,0.11159319,807.47253,908.20514,807.0696,811.9048,865.4945,0.3565673828125,0.13446044921875,0.92889404296875,3.312225341796875,-3.701019287109375,-5.615081787109375,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:36.038,0.46398252,0.0,1.3329601,0.555454,0.40247476,0.0,0.8135131,0.6252263,0.4802668,0.0,0.69694746,0.80741686,0.6791437,0.0,0.34907866,0.5788523,0.33171505,0.0,-0.23279789,0.24416907,775.2381,1240.2197,800.2198,782.49084,771.6117,0.354248046875,0.116455078125,0.929931640625,5.719757080078125,-2.27294921875,-1.457977294921875,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:36.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:36.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:37.045,0.2731641,0.0,1.1864023,0.8804975,0.35490105,0.0,0.7446665,0.9400694,0.42449582,0.0,0.7370937,0.7778245,0.8023507,0.0,0.28191608,0.5540692,0.24945903,0.0,-0.3102757,0.30276838,813.91943,1257.9487,801.4286,822.7839,697.0696,0.31085205078125,0.13092041015625,0.946044921875,6.302947998046875,0.366363525390625,-4.964599609375,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:38.066,0.2731641,0.0,0.44166842,0.8804975,0.35490105,0.0,0.28034672,0.9400694,0.42449582,0.0,0.49672857,0.7778245,0.8023507,0.0,0.1616545,0.5540692,0.24945903,0.0,-0.5454944,0.30276838,796.1905,1220.4762,801.02563,815.9341,657.98535,0.3179931640625,0.12603759765625,0.9403076171875,6.041259765625,-2.43743896484375,-0.545806884765625,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:38.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2020-05-25 13:57:39.082,0.78090197,0.0,0.69838816,0.88313824,1.1225915,0.0,0.26484,1.0524013,1.173809,0.0,0.3331332,1.1610258,1.2342454,0.0,0.2931126,0.9890417,1.1602587,0.0,-0.17746001,0.6437204,813.1135,1014.57874,784.5055,808.68134,637.4359,0.298828125,0.10791015625,0.97021484375,5.39825439453125,-4.2169189453125,5.749664306640625,1,1.0,4.0,1.0,1.0,60.00
2020-05-25 13:57:39.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:39.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:40.119,0.9070352,0.0,0.8700871,1.2206208,1.3178849,0.0,0.4184825,1.3476225,1.173809,0.0,0.5042457,1.1610258,1.3853691,0.0,0.16170007,1.1445506,1.3419757,0.0,-0.21701926,0.86581707,782.0879,909.81683,803.8461,779.67035,637.8388,0.31951904296875,0.1024169921875,0.9525146484375,9.40582275390625,-4.6356201171875,12.33673095703125,1,1.0,4.0,1.0,1.0,55.00
2020-05-25 13:57:41.135,0.95789593,0.0,1.0762143,1.8775736,1.3033309,0.0,0.53468484,1.7786548,1.1735284,0.0,0.72612935,1.4630494,1.4015567,0.0,0.09945482,0.83573765,1.3966675,0.0,-0.4220615,0.23318516,795.78754,473.44324,799.41394,798.60803,872.74725,0.26263427734375,0.09832763671875,0.95697021484375,3.72344970703125,2.355194091796875,-11.103057861328125,1,1.0,4.0,1.0,1.0,55.00
2020-05-25 13:57:41.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:41.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:42.152,0.95789593,0.0,1.148518,1.8775736,1.3033309,0.0,0.6596974,1.7786548,1.1735284,0.0,0.78932005,1.4630494,1.4015567,0.0,0.15549393,0.83573765,1.3966675,0.0,-0.23903808,0.23318516,785.31134,181.72162,790.9524,805.4579,922.71063,0.26544189453125,0.09454345703125,0.96630859375,5.001983642578125,-2.2430419921875,-3.00567626953125,1,1.0,4.0,1.0,1.0,55.00
2020-05-25 13:57:42.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:42.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-05-25 13:57:43.161,0.95789593,0.0,0.9420756,1.8775736,1.3033309,0.0,0.6320043,1.7786548,1.1735284,0.0,0.59233856,1.4630494,1.4015567,0.0,0.1399121,0.83573765,1.3966675,0.0,-0.21229488,0.23318516,776.04395,154.72528,800.2198,793.36993,830.4396,0.23150634765625,0.108642578125,0.9720458984375,4.927215576171875,-1.757049560546875,-2.55706787109375,1,1.0,4.0,1.0,1.0,55.00
2020-05-25 13:57:44.167,0.95789593,0.0,1.0326991,1.8775736,1.3033309,0.0,0.6564172,1.7786548,1.1735284,0.0,0.48769188,1.4630494,1.4015567,0.0,0.23533778,0.83573765,1.3966675,0.0,-0.28118744,0.23318516,772.01465,766.3736,792.5641,784.5055,495.6044,0.24072265625,0.1094970703125,0.97021484375,6.138458251953125,-3.028106689453125,-2.056121826171875,1,2.0,4.0,1.0,2.0,55.00
