Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth,Audio,Scent
6.949883,0,0,0,0,0,0,0,0,True,False
6.949883,-3084.155,-3689.116,-8173.511,-1.733706,-2925.113,-774.1395,0,0,True,False
7.199249,-5165.093,-5074.718,-13235.25,-258.7492,-600.7863,-713.9854,0,0,True,False
7.215873,-6040.648,-5899.487,-15609.96,-382.6057,972.6163,1520.519,0,0,True,False
7.215873,-6444.603,-5971.814,-17588.88,-457.6636,2275.684,258.4727,0,0,True,False
7.23247,-5972.553,-6864.984,-18049.94,-474.5232,2694.867,-1247.956,0,0,True,False
7.23247,-5937.34,-6734.934,-17747.21,-471.5098,1911.818,-1446.167,0,0,True,False
7.265724,-6155.525,-6584.561,-17266.13,-472.6054,1024.621,-22.2909,0,0,True,False
7.282356,-6011.344,-6565.375,-17024.83,-459.9222,-49.38314,1510.689,0,0,True,False
7.282356,-4826.446,-6893.172,-16910.81,-450.3181,2097.613,4936.229,0,0,True,False
7.298921,-4065.432,-7318.38,-17532.61,-438.0757,1377.989,7247.781,0,0,True,False
7.315619,-3437.736,-7506.966,-17159.36,-433.6581,-182.51,6625.977,0,0,True,False
7.315619,-2731.238,-7118.182,-17207.64,-434.5499,-643.279,5722.327,0,0,True,False
7.332235,-2298.728,-7016.694,-17466.59,-430.3757,-210.0836,4896.362,0,0,True,False
7.332235,-1881.183,-6723.33,-17700.36,-422.3026,-659.5326,4418.487,0,0,True,False
7.34886,-1596.192,-6590.006,-17854.27,-419.445,-364.4371,3972.85,0,0,True,False
7.398576,-1296.198,-6193.262,-17466,-420.3176,-875.3235,2812.939,0,0,True,False
7.398576,-1336.087,-5622.496,-16848.44,-419.6968,-792.9185,1093.681,0,0,True,False
7.448602,-1210.311,-5034.589,-17002.85,-400.8182,-485.214,-508.0088,0,0,True,False
7.481849,-1486.614,-4671.739,-17393.32,-397.6092,-564.295,-1824.401,0,0,True,False
7.531717,-1301.311,-4170.702,-17410.15,-398.0615,-1166.876,-1972.527,0,0,True,False
7.548339,-1576.958,-4294.299,-17638.59,-392.6992,-1640.16,-2361.55,0,0,True,False
7.581584,-1458.139,-4010.063,-17730.43,-391.7115,-1992.659,-2762.278,0,0,True,False
7.581584,-688.1718,-3402.943,-17445.69,-385.3629,-2417.852,-2855.125,0,0,True,False
7.614833,-888.9163,-3573.763,-17458.12,-374.9852,-2056.436,-3547.914,0,0,True,False
7.631456,-989.4182,-3512.12,-17327.29,-374.9743,-1533.174,-4204.968,0,0,True,False
7.681324,-1025.846,-3271.447,-17077.46,-365.1804,-1237.403,-4390.799,0,0,True,False
7.714571,-1055.263,-2891.331,-16520.52,-370.2506,-769.4865,-4558.498,0,0,True,False
7.714571,-1643.131,-2411.416,-16614.82,-368.9271,-910.4626,-4446.997,0,0,True,False
7.764446,-2079.161,-2276.782,-16611.66,-367.2154,-2232.591,-4418.87,0,0,True,False
7.764446,-2520.247,-2706.122,-16220.63,-365.2537,-4759.845,-2719.436,0,0,True,False
7.814312,-3169.471,-2318.068,-16878.71,-358.7046,-6698.548,-1269.188,0,0,True,False
7.814312,-2890.788,-2355.236,-17111.32,-357.5698,-6503.385,196.6066,0,0,True,False
7.847556,-3134.764,-1902.844,-17621.65,-347.3086,-8173.002,1896.174,0,0,True,False
7.897425,-3292.874,-1190.015,-18304.03,-343.4125,-9481.854,2305.741,0,0,True,False
7.897425,-3815.935,-427.8746,-18628.76,-331.1302,-10968.48,1159.762,0,0,True,False
7.930673,-3573.018,-969.558,-18461.58,-330.1996,-10854.46,-287.9102,0,0,True,False
7.980537,-3503.027,-942.1169,-18616.58,-329.1236,-10870.61,598.0491,0,0,True,False
7.980537,-2790.631,-216.342,-18435,-327.9586,-10836.22,930.5785,0,0,True,False
8.030402,-2248.166,305.1111,-18005.65,-313.4574,-10457.9,-573.9342,0,0,True,False
8.030402,-2205.994,43.35783,-17624.07,-306.5151,-9386.313,-2133.792,0,0,True,False
8.080265,-1698.642,687.9448,-17699.18,-314.2538,-8651.032,-2340.196,0,0,True,False
8.080265,-1698.009,1061.677,-17498.47,-306.6461,-11090.76,-351.5664,0,0,True,False
8.129675,-1624.537,1392.473,-16644.38,-300.6104,-9255.656,2621.184,0,0,True,False
8.162909,-1146.443,2476.475,-16320.36,-304.6668,-8364.978,3279.892,0,0,True,False
8.162909,-1356.6,3157.959,-15877.08,-298.7271,-7920.104,3343.78,0,0,True,False
8.212821,-1386.345,3673.007,-15781.32,-298.4513,-6591.909,3019.707,0,0,True,False
8.212821,-467.9465,4804.416,-15505.55,-298.0905,-5073.78,3777.826,0,0,True,False
8.262717,-73.0788,5308.917,-15625.59,-293.2427,-3220.306,2286.843,0,0,True,False
8.262717,-422.131,5762.757,-16086.14,-298.2725,-955.9154,1030.18,0,0,True,False
8.295982,-735.9473,6335.891,-16076.34,-293.1349,583.9373,464.7934,0,0,True,False
8.345863,-779.2375,6446.958,-16129.73,-293.5256,1816.384,-297.8797,0,0,True,False
8.345863,-807.9136,6199.221,-15878.13,-289.2915,1004.491,975.2028,0,0,True,False
8.395762,-550.4722,5815.473,-15588.69,-281.5321,1055.429,2655.201,0,0,True,False
8.395762,5.307188,5774.526,-15235.59,-279.9591,1315.972,4572.045,0,0,True,False
8.429029,325.276,5322.099,-15279.98,-283.1302,1498.674,6509.033,0,0,True,False
8.478919,-435.4065,5023.735,-15692.86,-276.6357,1213.573,8124.56,0,0,True,False
8.478919,198.5442,4679.452,-15293.5,-284.9153,-97.99424,6929.978,0,0,True,False
8.528815,329.2167,4297.907,-15367.74,-295.6273,73.41375,5616.211,0,0,True,False
8.528815,838.8038,4078.508,-15421.11,-286.0238,-352.8045,4912.178,0,0,True,False
8.562079,1107.989,3831.176,-15481.67,-287.4793,115.5083,3339.861,0,0,True,False
8.578707,1250.327,3658.535,-15686.06,-288.5397,459.8549,1859.355,0,0,True,False
8.611972,1179.162,3336.516,-16010.1,-289.2982,657.6189,927.2931,0,0,True,False
8.611972,888.4756,3426.128,-16407.3,-285.3953,401.0566,113.0218,0,0,True,False
8.661861,731.9753,3498.463,-16676.89,-277.9355,-14.58068,-799.7862,0,0,True,False
8.711753,304.3613,3366.958,-17047.65,-272.2033,127.3046,-1688.886,0,0,True,False
8.711753,-75.96562,3098.623,-17198.28,-263.3775,528.1994,-2324.027,0,0,True,False
8.745009,-266.196,2708.512,-16743.71,-265.4978,928.7335,-2817.637,0,0,True,False
8.745009,-918.5517,2902.996,-16837.38,-275.9937,524.9299,-3744.465,0,0,True,False
8.794907,-1621.858,3571.215,-17387.29,-270.721,22.52894,-4113.703,0,0,True,False
8.794907,-1608.155,3360.964,-17175.35,-266.6816,1372.865,-3562.488,0,0,True,False
8.927953,-846.2203,1967.973,-16445.05,-263.5961,334.071,-3191.629,0,0,True,False
8.927953,-708.6442,2209.618,-16095.21,-265.6792,-1057.57,-2272.882,0,0,True,False
8.977851,-854.5236,2287.534,-16017.63,-267.2829,-264.0145,-1593.347,0,0,True,False
8.977851,-1095.252,2670.754,-16320.43,-268.5152,-111.6746,-1118,0,0,True,False
9.011112,-1514.417,3458.477,-16460.68,-273.8911,-1225.738,-461.8897,0,0,True,False
9.027741,-1150.905,3237.971,-16197,-264.7022,-1492.944,-401.8616,0,0,True,False
9.06046,-1620.364,3484.611,-16107.74,-262.1084,-1899.857,-376.0704,0,0,True,False
