Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
6.421264,0,0,0,0,0,0,0,0
6.421264,-15924,-3988,-1212,-3152,-197,71,0,0
6.520803,-15888,-4052,-812,-3168,-163,-160,0,0
6.520803,-16044,-3884,-1040,-3136,-121,180,0,0
6.520803,-15820,-4092,-1124,-3120,-36,313,0,0
6.520803,-15748,-4084,-1080,-3120,210,72,0,0
6.520803,-15892,-4112,-1008,-3136,98,412,0,0
6.520803,-15896,-3980,-988,-3152,-26,545,0,0
6.520803,-15820,-3960,-1308,-3152,159,583,0,0
6.570571,-15964,-4280,-796,-3168,57,214,0,0
6.587162,-15980,-4072,-1184,-3120,-355,425,0,0
6.653521,-15936,-4048,-1296,-3088,-79,44,0,0
6.653521,-15936,-4028,-1068,-3136,-94,240,0,0
6.686702,-15924,-3960,-1052,-3120,-202,250,0,0
6.686702,-15864,-3996,-1272,-3120,-30,-32,0,0
6.736467,-16000,-4148,-1264,-3104,-26,566,0,0
6.736467,-15900,-4208,-1308,-3136,75,-45,0,0
6.769649,-15868,-4204,-816,-3136,32,179,0,0
6.819417,-16072,-3960,-1080,-3120,-351,355,0,0
6.869188,-15992,-3820,-1632,-3104,-223,261,0,0
6.869188,-15820,-4080,-1208,-3120,225,-132,0,0
6.918955,-15892,-4092,-1020,-3120,-67,126,0,0
6.918955,-16000,-3960,-1252,-3120,-135,202,0,0
6.968724,-16004,-4036,-1396,-3088,-79,294,0,0
7.001905,-15844,-3952,-1264,-3104,-10,166,0,0
7.001905,-15904,-4008,-1060,-3104,-1,242,0,0
7.051672,-16020,-3980,-1288,-3120,-148,279,0,0
7.051672,-15908,-4096,-1196,-3104,-219,174,0,0
7.101442,-15900,-4200,-1204,-3120,-13,189,0,0
7.101442,-15908,-3908,-1236,-3088,-107,159,0,0
7.134621,-15976,-3916,-1240,-3136,-25,147,0,0
7.184384,-15900,-4056,-1068,-3136,-89,244,0,0
7.184384,-15892,-3924,-1256,-3136,-60,330,0,0
7.234155,-15872,-3996,-1080,-3136,-34,112,0,0
7.234155,-15928,-3952,-1236,-3088,-110,224,0,0
7.267336,-15972,-3972,-1176,-3152,-84,144,0,0
