Time,Ax,Ay,Az,Gx,Gy,Gz
0.01657896,-10286.18,-696.1587,-1909.009,-8345.394,-592.3048,-1569.655
0.01611515,-10259.89,-716.3262,-2450.357,-8335.228,-461.1727,-2182.649
0.01611515,-10369.49,-872.3317,-2878.041,-8424.323,-608.4313,-1860.726
0.01657733,-10470.33,-821.9945,-2887.865,-8501.759,-697.451,-1546.369
0.01656636,-10165.18,-923.0735,-2466.816,-8264.43,-774.5841,-1007.289
0.01657233,-10362.49,-814.1625,-2361.239,-8416.244,-543.1809,-929.4435
0.01657233,-10586.52,-876.4403,-2569.212,-8591.999,-830.1713,-2242.475
0.01657213,-10820.18,-84.09673,-3139.377,-8769.762,-457.0943,-2449.752
0.01657357,-10493.94,-264.675,-3031.926,-8506.025,-204.7258,-2767.562
0.01657357,-10637.65,-129.9769,-3362.377,-8629.035,415.4483,-2650.699
0.01657363,-10734.57,-588.1567,-3498.416,-8702.446,140.4155,-4731.991
0.01657363,-10382.18,547.9264,-4231.518,-8428.157,133.4967,-3492.386
0.01657203,-10630.3,627.3615,-4999.706,-8622.564,-3250.666,-2009.707
0.0165748,-10900.55,-2124.55,-3100.565,-8823.978,-8570.548,-5015.007
0.0165748,-11371.2,-6293.772,-5449.631,-9177.392,-10773.29,-6199.443
0.01657329,-12437.3,-8019.779,-5419.991,-9988.113,-10891.36,-11768.22
0.01657491,-11821.21,-7607.466,-8945.125,-9519.895,-14773.53,-15751.09
0.01657248,-11404.48,-11426.56,-13592.09,-9189.23,-15196.6,-19260.4
0.0165756,-11024.33,-10837.01,-15424.85,-8901.801,-12404.59,-19833.88
0.0165733,-8856.672,-10320.98,-13250.89,-7242.701,-12318.76,-18897.5
0.01657307,-7414.489,-10998.98,-12811.87,-6154.552,-7754.482,-18523.58
0.01670863,-6765.527,-7080.323,-12134.09,-5667.623,-8317.337,-10703.97
0.01657257,-7179.591,-10273.75,-4949.282,-6006.49,-6170.489,-4496.215
0.01657528,-7093.778,-6074.599,-313.5447,-5951.781,-134.1557,-2498.64
0.01657528,-7590.826,-1098.674,1432.363,-6332.256,-1604.82,3028.506
0.01657335,-8140.984,-3321.211,4766.325,-6763.582,-8522.525,1226.505
0.01657405,-7908.354,-10340.9,3741.034,-6581.211,-7721.362,969.0129
0.01656798,-6594.801,-9008.229,3831.974,-5587.505,-7721.634,2363.038
0.01657245,-5937.667,-7503.925,3616.053,-5103.811,-8155.764,4606.788
0.01657355,-7446.229,-8811.205,5976.403,-6257.008,-8396.269,3461.692
0.01657194,-7586.399,-8871.822,4596.876,-6376.484,-8719.724,1373.447
0.01657365,-6979.461,-9113.501,2068.484,-5906.996,-6583.139,-2322.381
0.01657368,-5171.525,-7883.642,1910.012,-4536.106,-5017.937,2344.929
0.01657368,-6899.794,-6329.357,4211.395,-5875.298,-2464.103,5544.902
0.01657329,-8124.72,-3910.977,7569.586,-6804.686,-2129.715,9714.362
0.01657329,-8683.791,-4249.316,9876.58,-7225.214,-3842.437,12621.94
0.01657571,-8190.93,-4628.518,12429.57,-6840.849,-8604.066,18496.64
0.01657571,-7188.345,-5299.455,13430.46,-6078.572,-12873.2,19199.97
0.01657501,-9452.241,-11301.54,14109.41,-7804.791,-17441.38,13315.19
0.01657333,-9435.668,-15876.92,8860.103,-7794.629,-9082.593,5871.145
0.01657471,-10312.61,-6987.344,4859.25,-8445.094,-1619.709,-4395.056
0.01657471,-8858.748,-909.9408,-1981.702,-7327.002,-753.7595,-3319.268
0.01657294,-10895.38,-1919.389,-3738.521,-8888.62,-3490.866,-1891.031
0.01657429,-10893.51,-4197.775,-1951.943,-8877.739,-2386.698,-3120.23
0.01657429,-12006.24,-2676.288,-2488.383,-9714.269,1875.379,-1778.041
0.01657419,-10690.15,-63.77647,-364.1409,-8702.368,2056.604,1507.544
0.01657419,-10929.91,1266.189,1932.521,-8879.979,913.8092,6194.182
0.01657424,-11371.14,-3222.582,4583.571,-9215.485,-5025.039,5436.308
0.01657424,-11053.64,-5463.08,3712.908,-8957.484,-5264.821,775.0409
0.01657344,-10435.58,-5617.465,606.6978,-8485.329,-5486.996,-2925.635
0.01657334,-10127.41,-6720.821,-2007.683,-8248.185,-5899.915,-4109.508
0.01657458,-9111.099,-7370.336,-2889.809,-7476.319,-6618.766,-6439.558
0.01657283,-9018.893,-3569.213,-4107.396,-7404.922,-2192.936,-2472.276
0.01657283,-9731.105,-2515.853,-1871.172,-7951.971,-1720.391,884.498
0.01657559,-9889.96,-2374.99,875.0952,-8069.095,-556.1619,1347.217
0.01657421,-9772.129,-1521.332,1574.922,-7987.682,1177.852,2319.627
0.01657421,-10539.68,-193.8751,2596.149,-8569.273,1999.654,4491.754
0.01657239,-11144.88,839.7966,3649.698,-9023.989,844.6107,3101.246
0.01657334,-11301.85,-369.757,2701.167,-9143.433,570.4175,2906.67
0.01657334,-11309.47,-232.6043,1929.931,-9139.938,629.3828,1553.78
0.01657346,-10685.13,-314.6491,1564.796,-8667.855,539.101,109.1832
0.01657346,-10278.85,-1364.502,312.9883,-8360.656,-1121.673,902.9923
0.01657161,-9873.239,-2633.483,948.5598,-8046.815,-3224.649,2640.383
0.01657161,-9661.365,-4290.509,1206.197,-7882.399,-4272.637,2736.885
0.01657319,-8985.189,-4962.392,1426.574,-7368.631,-4168.669,-223.468
0.0165731,-8729.712,-5681.598,-5.499528,-7178.319,-5483.291,-2038.344
0.0165748,-9811.364,-7044.775,-1090.661,-8017.987,-7194.174,-2206.636
0.01657476,-11044.1,-7573.643,-2643.78,-8941.657,-6378.042,-1658.492
0.01657308,-10883.81,-7808.958,-2031.217,-8823.865,-7465.925,-4234.428
0.01657308,-8785.063,-6867.663,-2485.843,-7223.047,-5394.291,1154.731
0.01657241,-8685.879,-5092.571,-571.905,-7148.059,-4259.227,4803.192
0.01657267,-8409.95,-5063.699,2769.84,-6937.979,-3210.594,4671.8
0.0165744,-8733.479,-4142.169,2902.21,-7190.424,-1256.617,2560.967
0.01657284,-9219.771,-2992.648,1533.165,-7560.833,-1543.484,463.6936
0.01657284,-9113.807,-2952.923,-432.3228,-7490.2,-1960.909,-2492.077
0.01657417,-9409.29,-3423.425,-1739.767,-7717.369,-1544.148,-3715.823
0.01657262,-9888.207,-2673.895,-2721.12,-8087.678,-1033.403,-2549.292
0.01657262,-10552.28,-2663.337,-2192.435,-8588.58,-488.1377,-2276.971
0.01657411,-10651.39,-2570.27,-1177.435,-8660.299,-1107.183,-4.170186
0.01657406,-10954.78,-2867.993,-108.3817,-8879.147,-1297.661,1246.162
0.01657665,-10483.83,-3406.258,844.7097,-8523.935,-2140.013,818.345
0.01657359,-10278.09,-3399.715,637.3743,-8355.734,-2424.24,-631.2997
0.01657359,-10493.63,-3403.745,-519.6369,-8527.886,-2510.595,-464.1852
0.01657235,-10545.84,-3418.875,-417.6179,-8556.933,-1796.777,723.1513
0.01657235,-11133.25,-3198.528,-316.4459,-9007.84,-753.2957,1520.712
0.0165719,-11464.35,-2950.116,86.96217,-9261.046,2269.23,-660.2501
0.01657226,-11902.41,-938.8194,5.698473,-9595.054,4560.061,-4739.155
0.01657226,-11611.24,1743.167,-2419.717,-9362.411,-636.5182,-9925.762
0.01657314,-7503.729,-2963.312,-4488.045,-6214.032,324.7409,-9432.455
0.01657314,-5637.526,-633.2158,-4256.24,-4801.563,2018.94,-1903.978
0.0165741,-5196.396,1682.997,1251.196,-4495.991,-1636.999,1994.872
0.01657385,-5009.803,-3175.68,4651.71,-4375.536,-10122.42,6585.237
0.01657386,-4500.583,-7722.377,4752.93,-3989.854,-14893.88,12728.82
0.01657763,-10921.63,-11246.57,2050.698,-8912.087,-13980,6603.112
0.01657763,-11004.34,-10817.57,3829.071,-8960.849,-4862.012,2197.468
0.01657872,-10762.79,-4383.475,1700.803,-8767.323,-869.777,2979.573
0.01657872,-11735.82,-2353.043,2325.758,-9502.851,-999.4551,3349.835
0.0165758,-12475.49,-1599.926,1905.908,-10052.88,-1724.82,3368.039
0.01657876,-11601.27,-1727.022,1398.79,-9382.589,-2254.818,4525.445
0.01657876,-10702.64,-1679.702,1395.192,-8685.007,-1486.518,4144.517
0.01859545,-9698.984,-801.1176,1089.417,-7911.51,-45.68254,2394.565
0.01859545,-9288.589,-5.798323,90.8629,-7603.902,2175.151,-90.95747
0.01658002,-9549.942,1175.086,-1450.604,-7810.48,3695.436,-1395.462
0.01657996,-9958.802,1861.873,-2419.993,-8119.486,3290.026,-2778.89
0.01657996,-10446.5,1107.107,-2982.802,-8491.396,1314.694,-2819.641
0.01657945,-11009.23,-104.3751,-3337.885,-8923.184,48.02722,-1585.432
0.01657945,-10872.43,-484.7739,-2944.524,-8814.652,-766.4537,-3315.118
0.01657842,-10556.69,-835.718,-4309.229,-8566.082,807.961,-4315.704
0.01657801,-11053.76,256.472,-4999.975,-8948.368,3346.494,-3710.387
0.01657801,-11698.58,1611.426,-3760.674,-9437.265,4306.976,-3393.957
0.01657769,-10755.55,2670.286,-2917.436,-8712.021,4127.936,-2079.093
0.01657769,-11135.06,2948.423,-1325.942,-8982.78,3203.817,-1545.806
0.01661375,-10625.22,3001.76,-72.43755,-8599.986,1950.399,-90.82732
0.01657784,-9808.938,1537.722,1017.563,-7976.629,-1609.309,3115.875
0.01657784,-8591.35,-1449.085,2207.596,-7058.963,-6368.38,5489.436
0.01657791,-8306.218,-4430.439,790.0595,-6839.661,-7222.138,2344.633
0.01657791,-8723.432,-4776.241,-1551.829,-7174.514,-4430.975,-3388.862
0.01657918,-9955.638,-3074.466,-4245.244,-8115.724,-1431.47,-5566.604
0.01657835,-10403.59,-1412.252,-5162.007,-8453.025,597.7936,-3475.405
0.01657799,-10845.98,654.4224,-3710.318,-8797.69,2329.74,-1389.953
0.01657799,-10891.38,1956.633,-2480.08,-8824.532,3028.222,-132.33
0.01657715,-10719.14,2292.508,-2065.098,-8694.306,3136.895,-426.6454
0.01657715,-10314.69,2231.669,-2099.676,-8374.543,3205.883,-2120.28
0.01658002,-9708.314,2099.883,-2460.389,-7920.182,2299.087,-3688.615
0.01457683,-9812.273,1310.091,-3816.607,-7988.219,775.1181,-4552.809
0.01858035,-10220.34,257.9399,-4521.927,-8305.523,-472.0028,-5843.625
0.01657862,-10693.37,-393.8288,-5261.4,-8666.258,-378.2215,-4603.003
0.01657862,-11006.11,-126.5177,-4609.423,-8911.736,146.5701,-3288.142
0.01657793,-11031.27,250.3151,-3543.151,-8923.414,408.0201,-3073.965
0.01657793,-10735.88,482.5836,-3229.088,-8699.529,321.6113,-3046.571
0.01657893,-10617.25,316.3589,-3136.656,-8594.276,185.8038,-2771.438
