Time,Ax,Ay,Az,Gx,Gy,Gz
0.01659505,0,0,0,0,0,0,0
0.01659505,-8884.101,-1662.976,-3657.908,-6127.663,-1033.025,-1987.9,0
0.265437,-11539.47,-2341.515,-4420.801,-7541.426,-1391.568,-2413.744,0
0.265437,-11423.93,-2306.954,-4281.937,-7995.659,-1508.24,-2621.42,0
0.265437,-11028.13,-2206.502,-4086.677,-8230.886,-1552.329,-2739.368,0
0.265437,-10751.8,-2074.551,-3931.62,-8378.598,-1539.33,-2793.813,0
0.265437,-10522.98,-2030.885,-3841.128,-8414.595,-1550.506,-2827.377,0
0.01659087,-10423.9,-2031.686,-3816.301,-8426.499,-1575.972,-2856.829,0
0.01659087,-10317.41,-1999.384,-3839.907,-8344.84,-1552.905,-2884.239,0
0.0165901,-10263.45,-1978.821,-3790.659,-8274.353,-1517.102,-2812.367,0
0.0165954,-10261.91,-1977.481,-3805.35,-8191.609,-1510.164,-2814.502,0
0.0165954,-10178.06,-1965.523,-3730.829,-8089.806,-1490.583,-2719.905,0
0.0165954,-10129.21,-1952.478,-3700.338,-8014.449,-1475.178,-2692.332,0
0.0165954,-10055.41,-1947.053,-3662.149,-7934.293,-1468.003,-2643.438,0
0.0497709,-9961.938,-1942.081,-3657.85,-7861.082,-1455.287,-2645.635,0
0.0497709,-9842.185,-1889.092,-3633.508,-7762.723,-1415.118,-2625.89,0
0.0497709,-9861.058,-1882.191,-3658.17,-7753.657,-1408.552,-2636.624,0
0.0497709,-9771.461,-1873.692,-3643.58,-7710.323,-1395.479,-2634.807,0
0.0497709,-9732.286,-1844.106,-3587.098,-7656.743,-1375.156,-2586.114,0
0.01659038,-9693.718,-1870.358,-3555.462,-7617.158,-1397.848,-2561.798,0
0.01659038,-9659.387,-1870.983,-3605.057,-7590.175,-1389.865,-2598.568,0
0.01659032,-9682.059,-1873.775,-3595.152,-7602.915,-1392.258,-2587.389,0
0.01659032,-9654.666,-1858.03,-3567.561,-7586.769,-1388.932,-2547.453,0
0.01658813,-9658.777,-1883.454,-3563.633,-7581.991,-1398.088,-2546.69,0
0.01658813,-9605.436,-1898.493,-3576.499,-7524.934,-1404.055,-2596.015,0
0.01658839,-9564.685,-1883.426,-3531.27,-7500.247,-1396.506,-2542.535,0
0.01588135,-9606.739,-1828.233,-3570.506,-7539.183,-1359.017,-2546.375,0
0.01729856,-9624.44,-1789.173,-3567.195,-7541.847,-1324.416,-2554.549,0
0.01659214,-9630.067,-1819.007,-3529.605,-7544.322,-1353.402,-2524.981,0
0.01659214,-9572.604,-1816.541,-3553.076,-7503.245,-1344.881,-2516.198,0
0.01658966,-9493.291,-1808.68,-3551.489,-7428.153,-1328.97,-2555.042,0
0.01658966,-9532.451,-1785.27,-3597.403,-7461.69,-1317.607,-2599.915,0
0.01659021,-9527.313,-1761.007,-3591.274,-7461.341,-1287.957,-2597.985,0
0.01658917,-9491.908,-1730.627,-3651.311,-7442.423,-1272.318,-2656.612,0
0.01658917,-9412.584,-1675.623,-3660.011,-7372.457,-1231.05,-2667.261,0
0.01658995,-9465.182,-1702.007,-3694.048,-7416.868,-1255.146,-2759.599,0
0.01658995,-9495.48,-1823.702,-3779.335,-7439.634,-1344.922,-2826.319,0
0.03318108,-9570.055,-1860.026,-3690.772,-7496.12,-1404.225,-2751.793,0
0.01639021,-9708.97,-1923.785,-3623.067,-7592.62,-1461.301,-2660.151,0
0.01639021,-9726.291,-1981.182,-3506.14,-7604.729,-1496.967,-2433.037,0
0.03337587,-9582.675,-1972.197,-3402.629,-7498.479,-1472.14,-2422.996,0
0.01658711,-9483.172,-1881.613,-3402.376,-7417.696,-1392.943,-2379.79,0
0.0327004,-9453.481,-1860.644,-3383.393,-7399.5,-1370.091,-2413.698,0
0.01659091,-9485.112,-1831.983,-3456.565,-7419.349,-1355.057,-2420.066,0
0.01659174,-9510.292,-1806.093,-3424.205,-7443.009,-1335.317,-2432.604,0
0.01659989,-9505.041,-1817.691,-3399.887,-7430.041,-1343.735,-2388.132,0
0.01658793,-9517.218,-1854.114,-3392.962,-7448.151,-1369.107,-2375.6,0
0.01659044,-9542.048,-1856.842,-3401.616,-7466.996,-1370.557,-2376.887,0
0.01658305,-9525.256,-1843.467,-3428.528,-7453.987,-1353.623,-2408.098,0
0.01659307,-9539.555,-1810.556,-3422.779,-7478.089,-1335.974,-2424.452,0
0.01658478,-9514.615,-1794.939,-3498.655,-7445.58,-1326.098,-2461.797,0
0.01658478,-9502.981,-1786.427,-3528.285,-7441.097,-1324.182,-2513.979,0
0.01658983,-9453.025,-1750.783,-3539.183,-7398.539,-1298.514,-2553.352,0
0.01658891,-9457.214,-1765.759,-3541.29,-7388.647,-1311.88,-2561.004,0
0.01658903,-9462.033,-1811.634,-3534.633,-7405.816,-1345.416,-2545.917,0
0.016589,-9467.56,-1796.312,-3502.896,-7410.161,-1336.479,-2510.659,0
0.016589,-9503.109,-1824.964,-3493.561,-7432.957,-1357.284,-2480.765,0
0.01658805,-9472.88,-1800.939,-3536.067,-7409.837,-1339.153,-2516.568,0
0.0165918,-9504.002,-1793.735,-3501.296,-7429.237,-1324.821,-2515.643,0
0.01658969,-9511.058,-1795.025,-3492.781,-7447.875,-1328.649,-2490.538,0
0.01659085,-9500.856,-1792.475,-3486.884,-7435.563,-1329.526,-2492.991,0
0.01658784,-9491.393,-1804.28,-3475.505,-7419.442,-1339.42,-2475.2,0
0.0165879,-9473.537,-1837.334,-3475.276,-7405.837,-1360.773,-2428.592,0
0.0165879,-9425.551,-1829.187,-3538.383,-7378.162,-1361.359,-2487.476,0
0.01658637,-9468.871,-1851.697,-3500.283,-7411.475,-1368.205,-2500.116,0
0.01659115,-9476.709,-1860.11,-3530.973,-7421.94,-1377.253,-2489.997,0
0.01659115,-9511.315,-1792.64,-3532.01,-7443.931,-1325.863,-2523.951,0
0.01659048,-9504.767,-1741.221,-3556.749,-7429.952,-1293.648,-2541.029,0
0.01659048,-9474.06,-1791.074,-3567.379,-7415.316,-1337.243,-2538.955,0
0.01658899,-9498.35,-1817.856,-3476.941,-7433.902,-1358.841,-2439.798,0
0.01659061,-9514.741,-1826.571,-3448.89,-7441.93,-1367.644,-2384.546,0
0.01659061,-9490.871,-1813.27,-3449.086,-7432.472,-1354.903,-2445.454,0
0.01659023,-9450.376,-1772.465,-3518.097,-7383.819,-1322.343,-2477.011,0
0.01659006,-9413.313,-1782.019,-3520.067,-7373.432,-1321.738,-2454.386,0
0.0165885,-9417.823,-1818.219,-3575.876,-7372.706,-1361.934,-2566.239,0
0.01658943,-9447.416,-1806.819,-3578.06,-7395.52,-1349.001,-2582.507,0
0.01658943,-9523.691,-1827.919,-3570.198,-7458.261,-1359.552,-2569.778,0
0.01658805,-9562.631,-1842.557,-3539.113,-7478.897,-1374.521,-2525.836,0
0.01658971,-9520.479,-1797.375,-3502.059,-7450.824,-1331.863,-2377.553,0
0.01658971,-9473.354,-1804.666,-3468.641,-7414.711,-1339.435,-2369.556,0
0.0165886,-9451.3,-1775.044,-3502.814,-7389.069,-1309.652,-2438.683,0
0.01658775,-9438.476,-1780.099,-3564.736,-7388.296,-1314.22,-2503.52,0
0.01658775,-9445.813,-1757.133,-3585.401,-7398.494,-1306.777,-2536.851,0
0.01659182,-9449.306,-1723.919,-3657.166,-7396.838,-1279.101,-2566.16,0
0.01659182,-9439.274,-1709.675,-3634.812,-7389.275,-1281.253,-2593.783,0
0.01659,-9449.122,-1711.617,-3653.301,-7396.913,-1284.122,-2616.613,0
0.01658896,-9447.291,-1730.683,-3620.436,-7382.292,-1300.852,-2599.646,0
0.01658896,-9436.201,-1787.947,-3637.029,-7391.652,-1342.481,-2575.445,0
0.01659066,-9476.698,-1808.644,-3657,-7418.225,-1345.168,-2612.313,0
0.01658838,-9437.156,-1782.864,-3648.299,-7387.977,-1310.122,-2615.288,0
0.01658838,-9365.353,-1869.04,-3527.289,-7328.831,-1285.352,-2165.903,0
0.01658867,-9276.143,-1861.029,-3419.104,-7274.398,-999.6782,-1963.843,0
0.01658542,-9563.053,-1753.658,-3556.294,-7471.887,-1380.23,-2674.993,0
0.01658525,-9750.318,-2069.278,-3775.716,-7627.644,-1727.367,-3083.497,0
0.01658525,-9650.1,-2169.468,-4065.535,-7541.109,-2255.649,-2727.679,0
0.01658965,-9682.865,-2278.553,-3783.813,-7578.772,-2167.184,-3119.663,0
0.01658653,-9555.843,-1784.964,-3981.489,-7472.227,-1523.683,-3862.221,0
0.01658771,-9264.739,-915.8374,-4257.244,-7249.883,-667.7427,-3674.301,0
0.01658865,-9494.353,-1742.47,-3910.494,-7435.006,-806.9595,-1955.685,0
0.01658865,-9785.636,-190.0349,-3705.25,-7648.469,-1213.414,-1293.323,0
0.01659079,-9503.677,-325.7057,-3042.178,-7427.702,-1305.716,-2551.463,0
0.01659079,-10176.68,-316.2633,-3815.607,-7950.38,-1503.485,-4208.899,0
0.01609153,-8554.704,52.99217,-4697.266,-6705.357,-3008.652,-2327.263,0
0.01656478,-9254.038,-2635.247,-2884.198,-7238.735,-2122.272,-5268.166,0
0.01656478,-7754.628,-1175.352,-3710.737,-6099.518,-1706.439,1153.648,0
0.01658828,-8540.977,1206.755,55.52882,-6706.271,2892.612,3589.663,0
0.01657878,-8659.556,3211.871,-214.8266,-6804.002,2894.695,3738.769,0
