Time,Ax,Ay,Az,Gx,Gy,Gz,Breathing,Ground Truth
20.64517,0,0,0,0,0,0,0,0
20.64517,972.926,2233.262,9360.762,-376.2335,633.2355,448.3862,0,0
20.82797,1074.113,3012.965,14304.09,-850.8193,434.0323,111.2235,0,0
20.84457,821.7685,3162.052,16699.61,-1063.954,386.7924,-493.4471,0,0
20.84457,749.2973,3225.815,18045.61,-1156.065,473.7915,-885.0836,0,0
20.84457,636.199,3042.969,18484.92,-1204.947,342.8613,-866.58,0,0
20.84457,678.9683,2925.873,18675.29,-1210.009,606.6801,-882.3252,0,0
20.84457,742.3311,2957.958,18865.9,-1194.705,869.566,-539.7798,0,0
20.84457,932.4977,3109.419,19165.07,-1193.079,828.0227,-558.5822,0,0
20.84457,1224.935,3195.748,19420.65,-1190.259,398.4419,-864.1009,0,0
20.91096,1682.96,3343.23,19675.57,-1197.274,-143.5714,-1921.259,0,0
20.91096,2325.369,3283.018,19821.91,-1187.485,-419.9403,-1573.166,0,0
20.91096,2272.777,3115.974,19565.3,-1184.148,-302.0506,-613.017,0,0
20.99394,2365.845,3086.475,19183.91,-1180.759,125.8104,-84.47622,0,0
20.99394,2193.085,3010.703,18676.87,-1185.425,360.8585,618.8145,0,0
21.02714,1776.819,2960.4,18365.18,-1174.682,647.4399,246.8186,0,0
21.06033,1461.757,2914.006,18127.3,-1168.528,643.0239,-461.6061,0,0
21.07693,1461.021,3001.662,18006.96,-1157.156,502.5689,-741.1751,0,0
21.12671,989.6742,3196.098,17773.04,-1149.99,-63.28296,-667.7666,0,0
21.15991,417.9636,3693.254,17576.87,-1141.771,-940.526,-998.2931,0,0
21.15991,43.2319,3834.941,17506.41,-1132.784,-1484.457,-1433.844,0,0
21.2097,153.7713,3646.753,17490.04,-1132.081,-1305.789,-1967.011,0,0
21.24289,510.3297,3365.099,17063.05,-1120.387,-1170.714,-1865.704,0,0
21.25949,924.9125,2739.953,16777.79,-1118.08,-783.3773,-2428.789,0,0
21.29268,1107.506,2442.584,16869.22,-1105.439,-482.8692,-3849.27,0,0
21.30928,1598.213,1860.309,17380.99,-1098.392,-562.2015,-5555.293,0,0
21.34247,3088.588,1886.261,17893.4,-1077.987,-708.5607,-6281.231,0,0
21.34247,3803.917,2004.925,18246.94,-1065.345,-804.044,-3617.365,0,0
21.39227,3778.082,1978.269,18416.97,-1058.777,-854.6213,-640.025,0,0
21.47525,3800.018,1949.536,18303.04,-1056.955,-960.3425,1545.722,0,0
21.47525,3316.882,2016.986,17958.01,-1049.952,-1601.116,1816.857,0,0
21.49185,3332.687,2161.056,17964.2,-1043.515,-2721.1,259.4909,0,0
21.52504,3891.969,1765.647,17959.09,-1037.584,-4349.875,-980.3567,0,0
21.55586,4414.708,1262.338,17548.27,-1027.677,-5180.887,-1134.113,0,0
21.57483,4437.801,1099.676,16985,-1019.233,-4524.294,558.7941,0,0
21.62462,3628.123,922.1414,16233.88,-1016.403,-2212.887,2437.789,0,0
21.62462,3068.07,1253.989,15868.35,-1009.061,-63.096,2764.896,0,0
21.65781,3097.09,1273.939,15970.93,-1007.18,716.2322,1902.44,0,0
21.65781,2993.66,1203.317,16245.99,-996.234,1098.703,1451.276,0,0
21.79059,2870.037,1002.503,16488.92,-991.6966,1682.706,1118.185,0,0
21.84038,2932.937,1091.106,16506.59,-987.6798,2590.5,1359.396,0,0
21.84038,2613.638,1346.758,16126.1,-988.5316,2661.217,1604.733,0,0
